Seq_1370_LinJ.31,Seq_1475_LinJ.31,,,,,,,,
Seq_1371_LinJ.31,Seq_1374_LinJ.31,Seq_1377_LinJ.31,,,,,,,
Seq_1372_LinJ.31,Seq_1373_LinJ.31,,,,,,,,
Seq_1375_LinJ.31,,,,,,,,,
Seq_1376_LinJ.31,,,,,,,,,
Seq_1378_LinJ.31,Seq_1384_LinJ.31,Seq_1388_LinJ.31,,,,,,,
Seq_1379_LinJ.31,Seq_1381_LinJ.31,,,,,,,,
Seq_1380_LinJ.31,,,,,,,,,
Seq_1382_LinJ.31,,,,,,,,,
Seq_1383_LinJ.31,Seq_1385_LinJ.31,Seq_1386_LinJ.31,,,,,,,
Seq_1387_LinJ.31,,,,,,,,,
Seq_1389_LinJ.31,Seq_1391_LinJ.31,Seq_1392_LinJ.31,,,,,,,
Seq_1390_LinJ.31,,,,,,,,,
Seq_1393_LinJ.31,,,,,,,,,
Seq_1394_LinJ.31,Seq_1397_LinJ.31,Seq_1398_LinJ.31,,,,,,,
Seq_1395_LinJ.31,,,,,,,,,
Seq_1396_LinJ.31,,,,,,,,,
Seq_1399_LinJ.31,Seq_1401_LinJ.31,Seq_1402_LinJ.31,,,,,,,
Seq_1400_LinJ.31,,,,,,,,,
Seq_1403_LinJ.31,Seq_1405_LinJ.31,Seq_1406_LinJ.31,Seq_1408_LinJ.31,,,,,,
Seq_1404_LinJ.31,,,,,,,,,
Seq_1407_LinJ.31,,,,,,,,,
Seq_1409_LinJ.31,,,,,,,,,
Seq_1410_LinJ.31,Seq_1411_LinJ.31,,,,,,,,
Seq_1412_LinJ.31,,,,,,,,,
Seq_1413_LinJ.31,Seq_1418_LinJ.31,Seq_1420_LinJ.31,Seq_1438_LinJ.31,,,,,,
Seq_1414_LinJ.31,Seq_1415_LinJ.31,Seq_1416_LinJ.31,Seq_1417_LinJ.31,,,,,,
Seq_1419_LinJ.31,Seq_1421_LinJ.31,Seq_1422_LinJ.31,,,,,,,
Seq_1423_LinJ.31,,,,,,,,,
Seq_1424_LinJ.31,,,,,,,,,
Seq_1425_LinJ.31,,,,,,,,,
Seq_1428_LinJ.31,Seq_1429_LinJ.31,Seq_1433_LinJ.31,,,,,,,
Seq_1430_LinJ.31,Seq_1434_LinJ.31,,,,,,,,
Seq_1431_LinJ.31,Seq_1436_LinJ.31,,,,,,,,
Seq_1426_LinJ.31,Seq_1427_LinJ.31,Seq_1432_LinJ.31,Seq_1435_LinJ.31,Seq_1437_LinJ.31,Seq_1440_LinJ.31,Seq_1441_LinJ.31,,,
Seq_1442_LinJ.31,Seq_1443_LinJ.31,,,,,,,,
Seq_1444_LinJ.31,,,,,,,,,
Seq_1439_LinJ.31,Seq_1445_LinJ.31,Seq_1446_LinJ.31,Seq_1449_LinJ.31,Seq_1450_LinJ.31,Seq_1453_LinJ.31,Seq_1460_LinJ.31,Seq_1461_LinJ.31,Seq_1466_LinJ.31,Seq_1469_LinJ.31
Seq_1447_LinJ.31,Seq_1448_LinJ.31,,,,,,,,
Seq_1451_LinJ.31,,,,,,,,,
Seq_1452_LinJ.31,Seq_1454_LinJ.31,Seq_1455_LinJ.31,Seq_1456_LinJ.31,Seq_1457_LinJ.31,Seq_1458_LinJ.31,,,,
Seq_1462_LinJ.31,,,,,,,,,
Seq_1459_LinJ.31,Seq_1463_LinJ.31,Seq_1464_LinJ.31,Seq_1465_LinJ.31,Seq_1467_LinJ.31,,,,,
Seq_1468_LinJ.31,,,,,,,,,
Seq_1470_LinJ.31,Seq_1471_LinJ.31,Seq_1473_LinJ.31,,,,,,,
Seq_1472_LinJ.31,,,,,,,,,
Seq_1474_LinJ.31,,,,,,,,,
