GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0015711	BP	e	organic anion transport       	8/329	14/2624	8.53e-05	4	8	0.105	0.103	0.105	0.105	LINF_100013850, LINF_100013900, LINF_110012200, LINF_110012300, LINF_140021100, LINF_180009000, LINF_240008300, LINF_240008400
GO:0044281	BP	e	small molecule metabolic process	22/329	79/2624	0.000184	2	22	0.227	0.221	0.227	0.113	LINF_060013000, LINF_120006700, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_150005500, LINF_160010400, LINF_210007900, LINF_250017300, LINF_280005800, LINF_280007300, LINF_280026200, LINF_290035800, LINF_300006300, LINF_300028900, LINF_300036400, LINF_310038200, LINF_340039400, LINF_360026000, LINF_360030700
GO:0090481	BP	e	pyrimidine nucleotide-sugar transmembrane transport	3/329	3/2624	0.00196	7	3	1	1	1	0.18	LINF_180009000, LINF_240008300, LINF_240008400
GO:0072334	BP	e	UDP-galactose transmembrane transport	3/329	3/2624	0.00196	8	3	1	1	1	0.18	LINF_180009000, LINF_240008300, LINF_240008400
GO:0006971	BP	e	hypotonic response            	3/329	3/2624	0.00196	4	3	1	1	1	0.18	LINF_100013850, LINF_100013900, LINF_310005100
GO:0031399	BP	e	regulation of protein modification process	3/329	3/2624	0.00196	6	3	1	1	1	0.18	LINF_340015200, LINF_340026700, LINF_360014300
GO:0001932	BP	e	regulation of protein phosphorylation	3/329	3/2624	0.00196	8	3	1	1	1	0.18	LINF_340015200, LINF_340026700, LINF_360014300
GO:0019220	BP	e	regulation of phosphate metabolic process	3/329	3/2624	0.00196	6	3	1	1	1	0.18	LINF_340015200, LINF_340026700, LINF_360014300
GO:0051174	BP	e	regulation of phosphorus metabolic process	3/329	3/2624	0.00196	5	3	1	1	1	0.18	LINF_340015200, LINF_340026700, LINF_360014300
GO:0050790	BP	e	regulation of catalytic activity	3/329	3/2624	0.00196	3	3	1	1	1	0.18	LINF_280005800, LINF_340015200, LINF_360014300
GO:0009066	BP	e	aspartate family amino acid metabolic process	3/329	3/2624	0.00196	8	3	1	1	1	0.18	LINF_060013000, LINF_300036400, LINF_360030700
GO:0042908	BP	e	xenobiotic transport          	3/329	3/2624	0.00196	4	3	1	1	1	0.18	LINF_100013850, LINF_100013900, LINF_310005100
GO:0042325	BP	e	regulation of phosphorylation 	3/329	3/2624	0.00196	7	3	1	1	1	0.18	LINF_340015200, LINF_340026700, LINF_360014300
GO:0044237	BP	e	cellular metabolic process    	39/329	194/2624	0.00214	2	39	1	1	1	0.18	LINF_060013000, LINF_080016900, LINF_110007000, LINF_120006700, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_150005500, LINF_160010400, LINF_180018600, LINF_180021400, LINF_180022300, LINF_190006600, LINF_210006700, LINF_210007900, LINF_270020760, LINF_280005800, LINF_280026200, LINF_280026600, LINF_280032200, LINF_290035800, LINF_300006300, LINF_300036400, LINF_300037500, LINF_310038200, LINF_340005600, LINF_340015200, LINF_340026200, LINF_340026700, LINF_340027100, LINF_340039400, LINF_360012800, LINF_360014300, LINF_360026000, LINF_360027400, LINF_360030700, LINF_360068900
GO:1901564	BP	e	organonitrogen compound metabolic process	28/329	127/2624	0.00219	2	28	1	1	1	0.18	LINF_060013000, LINF_110017100, LINF_150005500, LINF_160010400, LINF_180018600, LINF_180021400, LINF_180022300, LINF_190006600, LINF_210006700, LINF_210007900, LINF_210014700, LINF_210022400, LINF_250030000, LINF_280005800, LINF_280026200, LINF_280026600, LINF_290015200, LINF_290035800, LINF_300027100, LINF_300028900, LINF_300036400, LINF_340015200, LINF_340026700, LINF_340027100, LINF_360012800, LINF_360014300, LINF_360026000, LINF_360030700
GO:0048878	BP	e	chemical homeostasis          	5/329	9/2624	0.00247	2	5	1	1	1	0.19	LINF_100013850, LINF_100013900, LINF_280026600, LINF_310018700, LINF_340005600
GO:0044282	BP	e	small molecule catabolic process	4/329	6/2624	0.00296	3	4	1	1	1	0.209	LINF_060013000, LINF_250017300, LINF_280007300, LINF_360030700
GO:0055085	BP	e	transmembrane transport       	9/329	26/2624	0.00304	4	9	1	1	1	0.209	LINF_060016800, LINF_100013850, LINF_100013900, LINF_140021100, LINF_180009000, LINF_240008300, LINF_240008400, LINF_310005100, LINF_330010700
GO:0006468	BP	e	protein phosphorylation       	7/329	18/2624	0.00423	6	7	1	1	1	0.273	LINF_190006600, LINF_210006700, LINF_280026600, LINF_340015200, LINF_340026700, LINF_360012800, LINF_360014300
GO:0051246	BP	e	regulation of protein metabolic process	5/329	10/2624	0.00443	5	5	1	1	1	0.273	LINF_060005400, LINF_340015200, LINF_340026700, LINF_350045300, LINF_360014300
GO:0006796	BP	e	phosphate-containing compound metabolic process	17/329	69/2624	0.00482	4	17	1	1	1	0.283	LINF_110007000, LINF_180018600, LINF_190006600, LINF_210006700, LINF_210007900, LINF_270020760, LINF_280005800, LINF_280026200, LINF_280026600, LINF_300037500, LINF_340015200, LINF_340026200, LINF_340026700, LINF_340027100, LINF_360012800, LINF_360014300, LINF_360068900
GO:0016310	BP	e	phosphorylation               	7/329	19/2624	0.006	5	7	1	1	1	0.302	LINF_190006600, LINF_210006700, LINF_280026600, LINF_340015200, LINF_340026700, LINF_360012800, LINF_360014300
GO:0019752	BP	e	carboxylic acid metabolic process	11/329	39/2624	0.00655	5	11	1	1	1	0.302	LINF_060013000, LINF_140012400, LINF_140012500, LINF_140012600, LINF_140012800, LINF_140013200, LINF_160010400, LINF_210007900, LINF_300036400, LINF_340039400, LINF_360030700
