0,Minus_diff,Minus_diff_perc,Plus_diff,Plus_diff_perc
LinJ.01,2,16.67,1,4.76
LinJ.02,3,9.68,0,0.0
LinJ.03,5,62.5,6,85.71
LinJ.04,4,20.0,8,47.06
LinJ.05,6,31.58,7,46.67
LinJ.06,4,13.79,3,13.04
LinJ.07,3,7.5,5,17.24
LinJ.08,13,9.85,4,3.81
LinJ.09,12,48.0,8,40.0
LinJ.10,7,18.42,5,15.15
LinJ.11,5,10.42,17,47.22
LinJ.12,-2,-2.99,11,20.37
LinJ.13,2,4.17,6,18.18
LinJ.14,3,6.0,9,22.5
LinJ.15,10,34.48,5,22.73
LinJ.16,7,15.91,15,42.86
LinJ.17,4,7.55,7,15.91
LinJ.18,8,11.76,5,8.33
LinJ.19,5,5.32,18,27.27
LinJ.20,12,20.0,3,6.82
LinJ.21,9,18.75,6,13.95
LinJ.22,1,1.23,16,11.11
LinJ.23,2,2.0,0,0.0
LinJ.24,9,13.04,4,7.69
LinJ.25,4,8.0,6,15.0
LinJ.26,6,8.33,6,10.17
LinJ.27,9,8.49,5,6.85
LinJ.28,9,13.85,5,9.62
LinJ.29,15,6.7,10,6.17
LinJ.30,15,11.45,4,4.21
LinJ.31,24,14.29,7,5.56
LinJ.32,15,11.19,-2,-2.04
LinJ.33,18,12.0,2,1.75
LinJ.34,12,2.56,12,3.05
LinJ.35,28,14.58,7,5.11
LinJ.36,12,5.41,11,7.01
