neg_name,chrom,start,end,strand,gene_id,transcript_id,parent_id,gene,transcript,CDS,3utr,5utr,pseudogen,notes,interval
rejected_noCDS_c01.10,LinJ.01,34736,37218,-,LINF_010006300,,,True,False,False,False,False,,hypothetical_protein_-_conserved__,"[34736, 37218]"
rejected_noCDS_c01.10,LinJ.01,34736,37218,-,,LINF_01T0006300,LINF_010006300,False,True,False,False,False,,hypothetical_protein_-_conserved__,"[34736, 37218]"
rejected_noCDS_c01.10,LinJ.01,34736,36818,-,,,LINF_01T0006300,False,False,False,True,False,,,"[34736, 36818]"
rejected_noCDS_c01.20,LinJ.01,114146,116224,+,LINF_010009600,,,True,False,False,False,False,,nicotinamidase|PNC1,"[114146, 116224]"
rejected_noCDS_c01.20,LinJ.01,114146,116224,+,,LINF_01T0009600,LINF_010009600,False,True,False,False,False,,nicotinamidase|PNC1,"[114146, 116224]"
rejected_noCDS_c01.20,LinJ.01,114146,114423,+,,,LINF_01T0009600,False,False,False,False,True,,,"[114146, 114423]"
rejected_noCDS_c01.30,LinJ.01,145613,146868,+,LINF_010010350,,,True,False,False,False,False,,,"[145613, 146868]"
rejected_noCDS_c01.30,LinJ.01,145613,146868,+,,LINF_01T0010350,LINF_010010350,False,True,False,False,False,,,"[145613, 146868]"
rejected_noCDS_c01.40,LinJ.01,262069,262979,+,LINF_010013350,,,True,False,False,False,False,,,"[262069, 262979]"
rejected_noCDS_c01.40,LinJ.01,262069,262979,+,,LINF_01T0013350,LINF_010013350,False,True,False,False,False,,,"[262069, 262979]"
rejected_noCDS_c02.70,LinJ.02,16154,18430,-,LINF_020005400,,,True,False,False,False,False,,cytochrome_b-domain_protein,"[16154, 18430]"
rejected_noCDS_c02.70,LinJ.02,16154,18430,-,,LINF_02T0005400,LINF_020005400,False,True,False,False,False,,cytochrome_b-domain_protein,"[16154, 18430]"
rejected_noCDS_c02.70,LinJ.02,16154,17546,-,,,LINF_02T0005400,False,False,False,True,False,,,"[16154, 17546]"
rejected_noCDS_c02.80,LinJ.02,73083,83537,-,LINF_020006700,,,True,False,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[73083, 83537]"
rejected_noCDS_c02.80,LinJ.02,73083,83537,-,,LINF_02T0006700,LINF_020006700,False,True,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[73083, 83537]"
rejected_noCDS_c02.80,LinJ.02,73083,79710,-,,,LINF_02T0006700,False,False,False,True,False,,,"[73083, 79710]"
rejected_noCDS_c02.90B,LinJ.02,93941,102762,-,LINF_020007000,,,True,False,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
rejected_noCDS_c02.90B,LinJ.02,93941,102762,-,,LINF_02T0007000,LINF_020007000,False,True,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
rejected_noCDS_c02.90B,LinJ.02,93941,99642,-,,,LINF_02T0007000,False,False,False,True,False,,,"[93941, 99642]"
rejected_noCDS_c02.100,LinJ.02,93941,102762,-,LINF_020007000,,,True,False,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
rejected_noCDS_c02.100,LinJ.02,93941,102762,-,,LINF_02T0007000,LINF_020007000,False,True,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
rejected_noCDS_c02.100,LinJ.02,93941,99642,-,,,LINF_02T0007000,False,False,False,True,False,,,"[93941, 99642]"
rejected_noCDS_c02.110,LinJ.02,93941,102762,-,LINF_020007000,,,True,False,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
rejected_noCDS_c02.110,LinJ.02,93941,102762,-,,LINF_02T0007000,LINF_020007000,False,True,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
rejected_noCDS_c02.110,LinJ.02,93941,99642,-,,,LINF_02T0007000,False,False,False,True,False,,,"[93941, 99642]"
rejected_noCDS_c02.120,LinJ.02,93941,102762,-,LINF_020007000,,,True,False,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
rejected_noCDS_c02.120,LinJ.02,93941,102762,-,,LINF_02T0007000,LINF_020007000,False,True,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
rejected_noCDS_c02.120,LinJ.02,93941,99642,-,,,LINF_02T0007000,False,False,False,True,False,,,"[93941, 99642]"
rejected_noCDS_c02.130B,LinJ.02,137296,139716,-,LINF_020007950,,,True,False,False,False,False,,,"[137296, 139716]"
rejected_noCDS_c02.130B,LinJ.02,137296,139716,-,,LINF_02T0007950,LINF_020007950,False,True,False,False,False,,,"[137296, 139716]"
rejected_noCDS_c02.140,LinJ.02,137296,139716,-,LINF_020007950,,,True,False,False,False,False,,,"[137296, 139716]"
