qseqid,sseqid,pident,qstart,qend,sstart,send,evalue,bitscore,length,qlen,qcovs,slen
Seq_11_LinJ.02,LinJ.02,97.194,1,392,268717,269108,0.0,664.0,392,635,100,356299
Seq_29_LinJ.04,LinJ.04,100.0,1,585,394441,395025,0.0,1081.0,585,585,100,466507
Seq_340_LinJ.28,LinJ.28,100.0,1,686,532764,533449,0.0,1267.0,686,686,100,1205031
Seq_681_LinJ.36,LinJ.36,100.0,1,610,771500,772109,0.0,1127.0,610,610,100,2743073
Seq_189_LinJ.16,LinJ.16,100.0,1,770,64229,64998,0.0,1423.0,770,770,100,688184
Seq_189_LinJ.16,LinJ.16,98.891,1,449,79840,80289,0.0,802.0,451,770,100,688184
Seq_190_LinJ.16,LinJ.16,100.0,1,770,79840,80609,0.0,1423.0,770,770,100,688184
Seq_190_LinJ.16,LinJ.16,98.891,1,450,64229,64677,0.0,802.0,451,770,100,688184
Seq_646_LinJ.35,LinJ.35,100.0,1,677,406290,406966,0.0,1251.0,677,677,100,2019672
Seq_102_LinJ.09,LinJ.09,100.0,1,717,194700,195416,0.0,1325.0,717,717,100,581924
Seq_378_LinJ.29,LinJ.29,100.0,1,576,746942,747517,0.0,1064.0,576,576,100,1272419
Seq_400_LinJ.31,LinJ.31,100.0,1,669,8276,8944,0.0,1236.0,669,669,100,1529246
Seq_26_LinJ.04,LinJ.04,100.0,1,531,331481,332011,0.0,981.0,531,531,100,466507
Seq_28_LinJ.04,LinJ.04,100.0,1,585,391322,391906,0.0,1081.0,585,585,100,466507
Seq_27_LinJ.04,LinJ.04,98.063,1,413,331684,331272,0.0,719.0,413,653,100,466507
Seq_27_LinJ.04,LinJ.04,100.0,1,653,362873,363525,0.0,1206.0,653,653,100,466507
Seq_211_LinJ.18,LinJ.18,100.0,1,562,383746,384307,0.0,1038.0,562,562,100,720431
Seq_11_LinJ.02,LinJ.02,100.0,1,635,259043,259677,0.0,1173.0,635,635,100,356299
Seq_27_LinJ.04,LinJ.04,97.23,10,370,394635,394275,9.45e-175,612.0,361,653,100,466507
Seq_27_LinJ.04,LinJ.04,97.159,10,361,391516,391165,9.52e-170,595.0,352,653,100,466507
Seq_102_LinJ.09,LinJ.09,99.565,1,230,212089,212318,6.760000000000001e-117,420.0,230,717,100,581924
