neg_name,chrom,start,end,strand,gene_id,transcript_id,parent_id,gene,transcript,CDS,3utr,5utr,pseudogen,notes,interval
lre_2.1,LinJ.02,93941,102762,-,LINF_020007000,,,True,False,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
lre_2.1,LinJ.02,93941,102762,-,,LINF_02T0007000,LINF_020007000,False,True,False,False,False,,phosphoglycan_beta_1-3_galactosyltransferase,"[93941, 102762]"
lre_2.1,LinJ.02,93941,99642,-,,,LINF_02T0007000,False,False,False,True,False,,,"[93941, 99642]"
lre_2.2,LinJ.02,137296,139716,-,LINF_020007950,,,True,False,False,False,False,,,"[137296, 139716]"
lre_2.2,LinJ.02,137296,139716,-,,LINF_02T0007950,LINF_020007950,False,True,False,False,False,,,"[137296, 139716]"
lre_2.3,LinJ.02,196594,201033,-,LINF_020009400,,,True,False,False,False,False,unknown,Transmembrane_amino_acid_transporter_protein_-_putative,"[196594, 201033]"
lre_2.3,LinJ.02,196594,201033,-,,LINF_02T0009400,LINF_020009400,False,True,False,False,False,,Transmembrane_amino_acid_transporter_protein_-_putative,"[196594, 201033]"
lre_2.3,LinJ.02,196594,199091,-,,,LINF_02T0009400,False,False,False,True,False,,,"[196594, 199091]"
lre_3.2,LinJ.04,126105,126374,-,LINF_040008875,,,True,False,False,False,False,,,"[126105, 126374]"
lre_3.2,LinJ.04,126105,126374,-,,LINF_04T0008875,LINF_040008875,False,True,False,False,False,,,"[126105, 126374]"
lre_3.3,LinJ.04,208282,210473,-,LINF_040010300,,,True,False,False,False,False,,hypothetical_protein_-_conserved,"[208282, 210473]"
lre_3.3,LinJ.04,208282,210473,-,,LINF_04T0010300,LINF_040010300,False,True,False,False,False,,hypothetical_protein_-_conserved,"[208282, 210473]"
lre_3.3,LinJ.04,208282,209330,-,,,LINF_04T0010300,False,False,False,True,False,,,"[208282, 209330]"
lre_4.1,LinJ.05,66289,73912,+,LINF_050007100,,,True,False,False,False,False,,dual_specificity_phosphatase-like_protein,"[66289, 73912]"
lre_4.1,LinJ.05,66289,73912,+,,LINF_05T0007100,LINF_050007100,False,True,False,False,False,,dual_specificity_phosphatase-like_protein,"[66289, 73912]"
lre_4.1,LinJ.05,66289,67362,+,,,LINF_05T0007100,False,False,False,False,True,,,"[66289, 67362]"
lre_4.2,LinJ.05,104200,106507,+,LINF_050008400,,,True,False,False,False,False,,mitoribosomal_protein_uS11m,"[104200, 106507]"
lre_4.2,LinJ.05,104200,106507,+,,LINF_05T0008400,LINF_050008400,False,True,False,False,False,,mitoribosomal_protein_uS11m,"[104200, 106507]"
lre_4.2,LinJ.05,105430,106507,+,,,LINF_05T0008400,False,False,False,True,False,,,"[105430, 106507]"
lre_4.2,LinJ.05,106508,108915,+,LINF_050008500,,,True,False,False,False,False,,trypanothione_reductase_(TRYR),"[106508, 108915]"
lre_4.2,LinJ.05,106508,108915,+,,LINF_05T0008500,LINF_050008500,False,True,False,False,False,,trypanothione_reductase_(TRYR),"[106508, 108915]"
lre_4.2,LinJ.05,106508,106885,+,,,LINF_05T0008500,False,False,False,False,True,,,"[106508, 106885]"
lre_5.1,LinJ.05,130378,134939,+,LINF_050009000,,,True,False,False,False,False,,SMC_(Structural_maintenance_of_chromosomes)_protein,"[130378, 134939]"
lre_5.1,LinJ.05,130378,134939,+,,LINF_05T0009000,LINF_050009000,False,True,False,False,False,,SMC_(Structural_maintenance_of_chromosomes)_protein,"[130378, 134939]"
lre_5.1,LinJ.05,134289,134939,+,,,LINF_05T0009000,False,False,False,True,False,,,"[134289, 134939]"
lre_5.2,LinJ.05,144533,148377,+,LINF_050009400,,,True,False,False,False,False,,hypothetical_protein_-_conserved,"[144533, 148377]"
lre_5.2,LinJ.05,144533,148377,+,,LINF_05T0009400,LINF_050009400,False,True,False,False,False,,hypothetical_protein_-_conserved,"[144533, 148377]"
lre_5.2,LinJ.05,147220,148377,+,,,LINF_05T0009400,False,False,False,True,False,,,"[147220, 148377]"
lre_7.1,LinJ.07,211168,211744,+,LINF_070010140,,,True,False,False,False,False,,,"[211168, 211744]"
lre_7.1,LinJ.07,211168,211744,+,,LINF_07T0010140,LINF_070010140,False,True,False,False,False,,,"[211168, 211744]"
lre_8.1,LinJ.07,211951,214227,+,LINF_070010160,,,True,False,False,False,False,,,"[211951, 214227]"
lre_8.1,LinJ.07,211951,214227,+,,LINF_07T0010160,LINF_070010160,False,True,False,False,False,,,"[211951, 214227]"
lre_7.1,LinJ.07,211951,214227,+,LINF_070010160,,,True,False,False,False,False,,,"[211951, 214227]"
lre_7.1,LinJ.07,211951,214227,+,,LINF_07T0010160,LINF_070010160,False,True,False,False,False,,,"[211951, 214227]"
lre_7.2,LinJ.07,251481,252207,+,LINF_070010950,,,True,False,False,False,False,,,"[251481, 252207]"
lre_7.2,LinJ.07,251481,252207,+,,LINF_07T0010950,LINF_070010950,False,True,False,False,False,,,"[251481, 252207]"
lre_7.3,LinJ.07,297019,304430,+,LINF_070012100,,,True,False,False,False,False,,vacuolar-type_Ca2+-ATPase_-_putative,"[297019, 304430]"
lre_7.3,LinJ.07,297019,304430,+,,LINF_07T0012100-150,LINF_070012100,False,True,False,False,False,,vacuolar-type_Ca2+-ATPase_-_putative,"[297019, 304430]"
lre_8.2,LinJ.07,297019,304430,+,LINF_070012100,,,True,False,False,False,False,,vacuolar-type_Ca2+-ATPase_-_putative,"[297019, 304430]"
lre_8.2,LinJ.07,297019,304430,+,,LINF_07T0012100-150,LINF_070012100,False,True,False,False,False,,vacuolar-type_Ca2+-ATPase_-_putative,"[297019, 304430]"
