Seq_994_LinJ.28,,,,,,,
Seq_995_LinJ.28,,,,,,,
Seq_996_LinJ.28,Seq_998_LinJ.28,Seq_1000_LinJ.28,Seq_1001_LinJ.28,Seq_1002_LinJ.28,Seq_1003_LinJ.28,Seq_1004_LinJ.28,
Seq_997_LinJ.28,,,,,,,
Seq_999_LinJ.28,,,,,,,
Seq_1005_LinJ.28,Seq_1006_LinJ.28,,,,,,
Seq_1007_LinJ.28,,,,,,,
Seq_1008_LinJ.28,Seq_1009_LinJ.28,,,,,,
Seq_1011_LinJ.28,,,,,,,
Seq_1013_LinJ.28,,,,,,,
Seq_1016_LinJ.28,Seq_1017_LinJ.28,,,,,,
Seq_1010_LinJ.28,Seq_1012_LinJ.28,Seq_1014_LinJ.28,Seq_1015_LinJ.28,Seq_1018_LinJ.28,Seq_1019_LinJ.28,Seq_1020_LinJ.28,Seq_1021_LinJ.28
Seq_1022_LinJ.28,,,,,,,
Seq_1023_LinJ.28,Seq_1026_LinJ.28,Seq_1036_LinJ.28,,,,,
Seq_1024_LinJ.28,Seq_1025_LinJ.28,Seq_1027_LinJ.28,Seq_1028_LinJ.28,Seq_1029_LinJ.28,Seq_1031_LinJ.28,Seq_1032_LinJ.28,
Seq_1030_LinJ.28,,,,,,,
Seq_1033_LinJ.28,Seq_1034_LinJ.28,Seq_1035_LinJ.28,Seq_1037_LinJ.28,Seq_1038_LinJ.28,,,
Seq_1039_LinJ.28,Seq_1041_LinJ.28,Seq_1042_LinJ.28,,,,,
Seq_1040_LinJ.28,,,,,,,
