Seq_323_LinJ.14,,,,,,,,,
Seq_324_LinJ.14,Seq_325_LinJ.14,,,,,,,,
Seq_326_LinJ.14,,,,,,,,,
Seq_337_LinJ.14,,,,,,,,,
Seq_338_LinJ.14,Seq_339_LinJ.14,Seq_340_LinJ.14,Seq_341_LinJ.14,Seq_342_LinJ.14,Seq_343_LinJ.14,Seq_344_LinJ.14,Seq_345_LinJ.14,Seq_350_LinJ.14,Seq_352_LinJ.14
Seq_346_LinJ.14,,,,,,,,,
Seq_347_LinJ.14,Seq_348_LinJ.14,,,,,,,,
Seq_349_LinJ.14,,,,,,,,,
Seq_351_LinJ.14,,,,,,,,,
Seq_353_LinJ.14,,,,,,,,,
Seq_354_LinJ.14,,,,,,,,,
Seq_355_LinJ.14,Seq_356_LinJ.14,Seq_357_LinJ.14,Seq_358_LinJ.14,Seq_359_LinJ.14,,,,,
Seq_360_LinJ.14,,,,,,,,,
Seq_361_LinJ.14,,,,,,,,,
Seq_362_LinJ.14,,,,,,,,,
