Seq_1476_LinJ.32,,,,,,,,
Seq_1477_LinJ.32,,,,,,,,
Seq_1478_LinJ.32,Seq_1480_LinJ.32,Seq_1483_LinJ.32,Seq_1484_LinJ.32,Seq_1487_LinJ.32,Seq_1488_LinJ.32,Seq_1490_LinJ.32,Seq_1492_LinJ.32,
Seq_1479_LinJ.32,Seq_1481_LinJ.32,Seq_1482_LinJ.32,Seq_1485_LinJ.32,Seq_1486_LinJ.32,Seq_1489_LinJ.32,Seq_1491_LinJ.32,Seq_1493_LinJ.32,
Seq_1494_LinJ.32,Seq_1497_LinJ.32,,,,,,,
Seq_1495_LinJ.32,Seq_1496_LinJ.32,Seq_1500_LinJ.32,Seq_1503_LinJ.32,,,,,
Seq_1498_LinJ.32,,,,,,,,
Seq_1499_LinJ.32,,,,,,,,
Seq_1501_LinJ.32,Seq_1502_LinJ.32,Seq_1504_LinJ.32,,,,,,
Seq_1505_LinJ.32,,,,,,,,
Seq_1506_LinJ.32,Seq_1509_LinJ.32,Seq_1510_LinJ.32,Seq_1511_LinJ.32,,,,,
Seq_1507_LinJ.32,Seq_1508_LinJ.32,,,,,,,
Seq_1512_LinJ.32,Seq_1513_LinJ.32,Seq_1515_LinJ.32,,,,,,
Seq_1514_LinJ.32,Seq_1516_LinJ.32,,,,,,,
Seq_1517_LinJ.32,,,,,,,,
Seq_1518_LinJ.32,,,,,,,,
Seq_1519_LinJ.32,Seq_1561_LinJ.32,,,,,,,
Seq_1520_LinJ.32,Seq_1521_LinJ.32,Seq_1522_LinJ.32,Seq_1523_LinJ.32,Seq_1524_LinJ.32,Seq_1525_LinJ.32,Seq_1526_LinJ.32,Seq_1527_LinJ.32,Seq_1528_LinJ.32
Seq_1529_LinJ.32,,,,,,,,
Seq_1530_LinJ.32,,,,,,,,
Seq_1531_LinJ.32,Seq_1532_LinJ.32,Seq_1533_LinJ.32,Seq_1534_LinJ.32,,,,,
Seq_1535_LinJ.32,Seq_1536_LinJ.32,Seq_1538_LinJ.32,Seq_1539_LinJ.32,Seq_1540_LinJ.32,Seq_1542_LinJ.32,,,
Seq_1537_LinJ.32,Seq_1541_LinJ.32,,,,,,,
Seq_1543_LinJ.32,Seq_1544_LinJ.32,,,,,,,
Seq_1545_LinJ.32,Seq_1546_LinJ.32,Seq_1547_LinJ.32,,,,,,
Seq_1548_LinJ.32,Seq_1552_LinJ.32,Seq_1553_LinJ.32,,,,,,
Seq_1549_LinJ.32,,,,,,,,
Seq_1550_LinJ.32,Seq_1551_LinJ.32,,,,,,,
Seq_1554_LinJ.32,,,,,,,,
Seq_1555_LinJ.32,,,,,,,,
Seq_1556_LinJ.32,,,,,,,,
Seq_1557_LinJ.32,Seq_1558_LinJ.32,Seq_1559_LinJ.32,,,,,,
Seq_1560_LinJ.32,,,,,,,,
Seq_1562_LinJ.32,Seq_1563_LinJ.32,,,,,,,
Seq_1564_LinJ.32,,,,,,,,
Seq_1565_LinJ.32,,,,,,,,
Seq_1566_LinJ.32,,,,,,,,
Seq_1567_LinJ.32,Seq_1568_LinJ.32,,,,,,,
Seq_1569_LinJ.32,,,,,,,,
