qseqid,sseqid,pident,qstart,qend,sstart,send,evalue,bitscore,length,qlen,qcovs,slen
Seq_140_LinJ.12,LinJ.12,99.04,943,1567,419342,419966,0.0,1122.0,625,1567,100,593475
Seq_151_LinJ.12,LinJ.12,94.56,2019,2628,425032,425655,0.0,952.0,625,2632,100,593475
Seq_151_LinJ.12,LinJ.12,98.861,1,527,428710,429235,0.0,939.0,527,2632,100,593475
Seq_151_LinJ.12,LinJ.12,98.506,674,1744,374442,375510,0.0,1888.0,1071,2632,100,593475
Seq_151_LinJ.12,LinJ.12,98.846,792,1744,406611,407561,0.0,1698.0,953,2632,100,593475
Seq_151_LinJ.12,LinJ.12,97.543,1,527,373540,374064,0.0,900.0,529,2632,100,593475
Seq_151_LinJ.12,LinJ.12,90.723,2019,2631,389366,390000,0.0,826.0,636,2632,100,593475
Seq_151_LinJ.12,LinJ.12,98.741,792,1744,394055,395005,0.0,1692.0,953,2632,100,593475
Seq_387_LinJ.30,LinJ.30,100.0,1,1000,276076,277075,0.0,1847.0,1000,1000,100,1353302
Seq_140_LinJ.12,LinJ.12,100.0,1,1567,406611,408177,0.0,2894.0,1567,1567,100,593475
Seq_140_LinJ.12,LinJ.12,99.062,1,745,429731,430476,0.0,1338.0,746,1567,100,593475
Seq_140_LinJ.12,LinJ.12,99.362,1,1567,382738,384304,0.0,2839.0,1567,1567,100,593475
Seq_140_LinJ.12,LinJ.12,99.745,1,1567,394055,395621,0.0,2872.0,1567,1567,100,593475
Seq_140_LinJ.12,LinJ.12,97.844,319,921,418666,419268,0.0,1042.0,603,1567,100,593475
Seq_151_LinJ.12,LinJ.12,95.434,1,642,393276,393931,0.0,1033.0,657,2632,100,593475
Seq_140_LinJ.12,LinJ.12,99.17,1,1567,374560,376126,0.0,2822.0,1567,1567,100,593475
Seq_684_LinJ.36,LinJ.36,100.0,1,1000,1772516,1773515,0.0,1847.0,1000,1000,100,2743073
Seq_309_LinJ.26,LinJ.26,100.0,1,1006,605339,606344,0.0,1858.0,1006,1006,100,1055293
Seq_309_LinJ.26,LinJ.26,99.66,418,1006,603260,603848,0.0,1077.0,589,1006,100,1055293
Seq_309_LinJ.26,LinJ.26,100.0,1,1006,607835,608840,0.0,1858.0,1006,1006,100,1055293
Seq_152_LinJ.12,LinJ.12,100.0,1,1773,454816,456588,0.0,3275.0,1773,1773,100,593475
Seq_152_LinJ.12,LinJ.12,98.292,1247,1772,419342,419868,0.0,922.0,527,1773,100,593475
Seq_152_LinJ.12,LinJ.12,97.917,1,526,373540,374063,0.0,909.0,528,1773,100,593475
Seq_152_LinJ.12,LinJ.12,97.436,582,1049,430009,430476,0.0,798.0,468,1773,100,593475
Seq_305_LinJ.26,LinJ.26,100.0,1,589,603260,603848,0.0,1088.0,589,589,100,1055293
Seq_305_LinJ.26,LinJ.26,99.66,1,589,605756,606344,0.0,1077.0,589,589,100,1055293
Seq_305_LinJ.26,LinJ.26,99.66,1,589,608252,608840,0.0,1077.0,589,589,100,1055293
Seq_307_LinJ.26,LinJ.26,100.0,1,1006,605339,606344,0.0,1858.0,1006,1006,100,1055293
Seq_143_LinJ.12,LinJ.12,97.844,1,603,406929,407531,0.0,1042.0,603,1301,100,593475
Seq_560_LinJ.34,LinJ.34,100.0,1,1026,804281,805306,0.0,1895.0,1026,1026,100,1852095
Seq_21_LinJ.04,LinJ.04,100.0,1,690,121442,122131,0.0,1275.0,690,690,100,466507
Seq_140_LinJ.12,LinJ.12,98.743,278,1470,455397,456588,0.0,2119.0,1193,1567,100,593475
Seq_140_LinJ.12,LinJ.12,98.846,1,951,450648,451600,0.0,1698.0,953,1567,100,593475
Seq_140_LinJ.12,LinJ.12,99.875,771,1567,430468,431264,0.0,1467.0,797,1567,100,593475
Seq_151_LinJ.12,LinJ.12,98.495,674,1537,429613,430476,0.0,1524.0,864,2632,100,593475
Seq_151_LinJ.12,LinJ.12,92.744,1725,2631,412802,413751,0.0,1332.0,951,2632,100,593475
Seq_151_LinJ.12,LinJ.12,98.519,1070,1744,455397,456070,0.0,1190.0,675,2632,100,593475
Seq_151_LinJ.12,LinJ.12,95.586,1,642,405831,406487,0.0,1038.0,657,2632,100,593475
Seq_143_LinJ.12,LinJ.12,97.512,1,603,374878,375480,0.0,1031.0,603,1301,100,593475
Seq_143_LinJ.12,LinJ.12,97.512,1,603,455438,456040,0.0,1031.0,603,1301,100,593475
Seq_143_LinJ.12,LinJ.12,96.683,1,603,450967,451569,0.0,1003.0,603,1301,100,593475
Seq_143_LinJ.12,LinJ.12,97.678,1,603,441170,441772,0.0,1037.0,603,1301,100,593475
Seq_307_LinJ.26,LinJ.26,99.66,418,1006,603260,603848,0.0,1077.0,589,1006,100,1055293
Seq_143_LinJ.12,LinJ.12,97.844,1,603,394373,394975,0.0,1042.0,603,1301,100,593475
Seq_143_LinJ.12,LinJ.12,97.844,1,603,383056,383658,0.0,1042.0,603,1301,100,593475
Seq_143_LinJ.12,LinJ.12,98.88,677,1301,394997,395621,0.0,1116.0,625,1301,100,593475
Seq_143_LinJ.12,LinJ.12,100.0,1,1301,418666,419966,0.0,2403.0,1301,1301,100,593475
Seq_143_LinJ.12,LinJ.12,99.2,677,1301,430640,431264,0.0,1127.0,625,1301,100,593475
Seq_151_LinJ.12,LinJ.12,94.857,2112,2631,401671,402195,0.0,815.0,525,2632,100,593475
Seq_151_LinJ.12,LinJ.12,98.696,518,1744,440577,441802,0.0,2176.0,1227,2632,100,593475
Seq_151_LinJ.12,LinJ.12,98.599,674,1744,382621,383688,0.0,1892.0,1071,2632,100,593475
Seq_151_LinJ.12,LinJ.12,96.012,1725,2360,446811,447462,0.0,1046.0,652,2632,100,593475
Seq_151_LinJ.12,LinJ.12,96.683,1111,1713,418666,419268,0.0,1003.0,603,2632,100,593475
Seq_151_LinJ.12,LinJ.12,94.728,2019,2629,436057,436681,0.0,959.0,626,2632,100,593475
Seq_151_LinJ.12,LinJ.12,96.266,2019,2632,461445,462059,0.0,1007.0,616,2632,100,593475
Seq_65_LinJ.08,LinJ.08,99.703,1,2015,299225,301242,0.0,3690.0,2018,2015,100,515747
Seq_152_LinJ.12,LinJ.12,97.453,10,598,466021,466606,0.0,1002.0,589,1773,100,593475
Seq_68_LinJ.08,LinJ.08,99.901,1,2014,303853,305867,0.0,3709.0,2015,2014,100,515747
