Seq_929_LinJ.27,Seq_930_LinJ.27,Seq_931_LinJ.27,Seq_932_LinJ.27,Seq_933_LinJ.27,Seq_934_LinJ.27,Seq_936_LinJ.27,Seq_937_LinJ.27,Seq_938_LinJ.27,Seq_939_LinJ.27,Seq_940_LinJ.27,Seq_941_LinJ.27,Seq_942_LinJ.27
Seq_935_LinJ.27,,,,,,,,,,,,
Seq_943_LinJ.27,,,,,,,,,,,,
Seq_944_LinJ.27,,,,,,,,,,,,
Seq_945_LinJ.27,,,,,,,,,,,,
Seq_946_LinJ.27,Seq_948_LinJ.27,,,,,,,,,,,
Seq_947_LinJ.27,,,,,,,,,,,,
Seq_949_LinJ.27,,,,,,,,,,,,
Seq_950_LinJ.27,Seq_951_LinJ.27,Seq_952_LinJ.27,Seq_954_LinJ.27,Seq_955_LinJ.27,Seq_956_LinJ.27,Seq_959_LinJ.27,Seq_960_LinJ.27,Seq_962_LinJ.27,,,,
Seq_953_LinJ.27,Seq_957_LinJ.27,Seq_958_LinJ.27,,,,,,,,,,
Seq_961_LinJ.27,Seq_964_LinJ.27,,,,,,,,,,,
Seq_963_LinJ.27,,,,,,,,,,,,
Seq_965_LinJ.27,Seq_966_LinJ.27,,,,,,,,,,,
Seq_967_LinJ.27,Seq_968_LinJ.27,Seq_969_LinJ.27,Seq_970_LinJ.27,Seq_971_LinJ.27,Seq_975_LinJ.27,,,,,,,
Seq_972_LinJ.27,,,,,,,,,,,,
Seq_973_LinJ.27,Seq_974_LinJ.27,,,,,,,,,,,
Seq_978_LinJ.27,Seq_982_LinJ.27,,,,,,,,,,,
Seq_980_LinJ.27,Seq_981_LinJ.27,,,,,,,,,,,
Seq_976_LinJ.27,Seq_977_LinJ.27,Seq_979_LinJ.27,Seq_983_LinJ.27,Seq_984_LinJ.27,,,,,,,,
Seq_993_LinJ.27,,,,,,,,,,,,
