Seq_181_LinJ.10,Seq_203_LinJ.10,Seq_206_LinJ.10,Seq_207_LinJ.10,Seq_209_LinJ.10,Seq_210_LinJ.10,Seq_211_LinJ.10,Seq_212_LinJ.10,Seq_213_LinJ.10
Seq_182_LinJ.10,,,,,,,,
Seq_183_LinJ.10,,,,,,,,
Seq_184_LinJ.10,Seq_185_LinJ.10,,,,,,,
Seq_186_LinJ.10,,,,,,,,
Seq_187_LinJ.10,Seq_192_LinJ.10,,,,,,,
Seq_188_LinJ.10,,,,,,,,
Seq_189_LinJ.10,,,,,,,,
Seq_190_LinJ.10,Seq_191_LinJ.10,,,,,,,
Seq_193_LinJ.10,,,,,,,,
Seq_194_LinJ.10,,,,,,,,
Seq_195_LinJ.10,,,,,,,,
Seq_196_LinJ.10,Seq_208_LinJ.10,,,,,,,
Seq_197_LinJ.10,Seq_198_LinJ.10,Seq_199_LinJ.10,Seq_199_LinJ.10,Seq_200_LinJ.10,,,,
Seq_197_LinJ.10,Seq_197_LinJ.10,Seq_198_LinJ.10,Seq_198_LinJ.10,Seq_199_LinJ.10,Seq_200_LinJ.10,Seq_200_LinJ.10,,
Seq_201_LinJ.10,,,,,,,,
Seq_202_LinJ.10,,,,,,,,
Seq_204_LinJ.10,,,,,,,,
Seq_205_LinJ.10,Seq_208_LinJ.10,,,,,,,
Seq_196_LinJ.10,Seq_205_LinJ.10,Seq_208_LinJ.10,,,,,,
