Seq_520_LinJ.19,Seq_521_LinJ.19,Seq_522_LinJ.19,Seq_523_LinJ.19,Seq_527_LinJ.19,Seq_528_LinJ.19,,,,
Seq_524_LinJ.19,,,,,,,,,
Seq_525_LinJ.19,Seq_526_LinJ.19,,,,,,,,
Seq_529_LinJ.19,Seq_532_LinJ.19,Seq_535_LinJ.19,Seq_538_LinJ.19,,,,,,
Seq_530_LinJ.19,Seq_531_LinJ.19,Seq_533_LinJ.19,Seq_534_LinJ.19,,,,,,
Seq_536_LinJ.19,Seq_538_LinJ.19,,,,,,,,
Seq_537_LinJ.19,Seq_539_LinJ.19,Seq_540_LinJ.19,Seq_541_LinJ.19,Seq_542_LinJ.19,,,,,
Seq_529_LinJ.19,Seq_532_LinJ.19,Seq_535_LinJ.19,Seq_536_LinJ.19,Seq_538_LinJ.19,,,,,
Seq_543_LinJ.19,Seq_545_LinJ.19,Seq_546_LinJ.19,Seq_566_LinJ.19,Seq_584_LinJ.19,,,,,
Seq_544_LinJ.19,,,,,,,,,
Seq_543_LinJ.19,Seq_545_LinJ.19,Seq_546_LinJ.19,,,,,,,
Seq_547_LinJ.19,Seq_551_LinJ.19,,,,,,,,
Seq_548_LinJ.19,Seq_565_LinJ.19,Seq_577_LinJ.19,Seq_583_LinJ.19,,,,,,
Seq_549_LinJ.19,Seq_556_LinJ.19,Seq_564_LinJ.19,Seq_577_LinJ.19,Seq_582_LinJ.19,,,,,
Seq_550_LinJ.19,Seq_556_LinJ.19,Seq_563_LinJ.19,Seq_569_LinJ.19,Seq_578_LinJ.19,Seq_581_LinJ.19,,,,
Seq_552_LinJ.19,Seq_553_LinJ.19,Seq_557_LinJ.19,Seq_558_LinJ.19,Seq_559_LinJ.19,Seq_560_LinJ.19,,,,
Seq_554_LinJ.19,,,,,,,,,
Seq_555_LinJ.19,Seq_562_LinJ.19,Seq_570_LinJ.19,Seq_579_LinJ.19,Seq_580_LinJ.19,,,,,
Seq_549_LinJ.19,Seq_550_LinJ.19,Seq_556_LinJ.19,Seq_563_LinJ.19,Seq_564_LinJ.19,Seq_569_LinJ.19,Seq_577_LinJ.19,Seq_578_LinJ.19,Seq_581_LinJ.19,Seq_582_LinJ.19
Seq_561_LinJ.19,Seq_568_LinJ.19,,,,,,,,
Seq_548_LinJ.19,Seq_565_LinJ.19,Seq_583_LinJ.19,,,,,,,
Seq_543_LinJ.19,Seq_546_LinJ.19,Seq_566_LinJ.19,Seq_584_LinJ.19,,,,,,
Seq_567_LinJ.19,Seq_573_LinJ.19,,,,,,,,
Seq_571_LinJ.19,Seq_572_LinJ.19,Seq_574_LinJ.19,Seq_575_LinJ.19,Seq_576_LinJ.19,,,,,
Seq_548_LinJ.19,Seq_549_LinJ.19,Seq_556_LinJ.19,Seq_564_LinJ.19,Seq_577_LinJ.19,Seq_582_LinJ.19,,,,
