Seq_1093_LinJ.28,,,,,,
Seq_1094_LinJ.28,,,,,,
Seq_1095_LinJ.28,,,,,,
Seq_1096_LinJ.28,Seq_1098_LinJ.28,Seq_1101_LinJ.28,Seq_1102_LinJ.28,Seq_1103_LinJ.28,Seq_1104_LinJ.28,Seq_1105_LinJ.28
Seq_1097_LinJ.28,,,,,,
Seq_1099_LinJ.28,,,,,,
Seq_1100_LinJ.28,,,,,,
Seq_1106_LinJ.28,Seq_1107_LinJ.28,,,,,
Seq_1108_LinJ.28,,,,,,
Seq_1109_LinJ.28,,,,,,
Seq_1110_LinJ.28,Seq_1111_LinJ.28,,,,,
Seq_1112_LinJ.28,Seq_1114_LinJ.28,Seq_1117_LinJ.28,Seq_1119_LinJ.28,Seq_1124_LinJ.28,,
Seq_1113_LinJ.28,,,,,,
Seq_1115_LinJ.28,,,,,,
Seq_1116_LinJ.28,,,,,,
Seq_1118_LinJ.28,,,,,,
Seq_1120_LinJ.28,Seq_1121_LinJ.28,,,,,
Seq_1122_LinJ.28,Seq_1123_LinJ.28,,,,,
Seq_1125_LinJ.28,Seq_1126_LinJ.28,Seq_1127_LinJ.28,Seq_1128_LinJ.28,,,
Seq_1129_LinJ.28,,,,,,
Seq_1130_LinJ.28,Seq_1133_LinJ.28,Seq_1143_LinJ.28,,,,
Seq_1131_LinJ.28,Seq_1132_LinJ.28,Seq_1134_LinJ.28,Seq_1135_LinJ.28,Seq_1136_LinJ.28,Seq_1138_LinJ.28,Seq_1139_LinJ.28
Seq_1137_LinJ.28,,,,,,
Seq_1140_LinJ.28,Seq_1141_LinJ.28,Seq_1142_LinJ.28,Seq_1144_LinJ.28,Seq_1145_LinJ.28,,
Seq_1146_LinJ.28,Seq_1148_LinJ.28,Seq_1149_LinJ.28,,,,
Seq_1147_LinJ.28,,,,,,
