Seq_522_LinJ.18,Seq_527_LinJ.18,,,,,,
Seq_523_LinJ.18,Seq_525_LinJ.18,,,,,,
Seq_524_LinJ.18,Seq_526_LinJ.18,Seq_529_LinJ.18,Seq_530_LinJ.18,Seq_531_LinJ.18,Seq_532_LinJ.18,Seq_534_LinJ.18,Seq_542_LinJ.18
Seq_528_LinJ.18,,,,,,,
Seq_533_LinJ.18,,,,,,,
Seq_535_LinJ.18,Seq_540_LinJ.18,,,,,,
Seq_536_LinJ.18,,,,,,,
Seq_537_LinJ.18,Seq_538_LinJ.18,,,,,,
Seq_541_LinJ.18,,,,,,,
Seq_544_LinJ.18,,,,,,,
Seq_545_LinJ.18,,,,,,,
Seq_539_LinJ.18,Seq_543_LinJ.18,Seq_546_LinJ.18,,,,,
Seq_547_LinJ.18,Seq_548_LinJ.18,,,,,,
Seq_549_LinJ.18,,,,,,,
Seq_550_LinJ.18,Seq_554_LinJ.18,Seq_555_LinJ.18,Seq_557_LinJ.18,Seq_564_LinJ.18,Seq_565_LinJ.18,Seq_567_LinJ.18,
Seq_551_LinJ.18,Seq_556_LinJ.18,Seq_570_LinJ.18,Seq_579_LinJ.18,,,,
Seq_552_LinJ.18,,,,,,,
Seq_553_LinJ.18,Seq_558_LinJ.18,,,,,,
Seq_559_LinJ.18,Seq_561_LinJ.18,Seq_562_LinJ.18,Seq_563_LinJ.18,,,,
Seq_560_LinJ.18,Seq_566_LinJ.18,Seq_568_LinJ.18,Seq_569_LinJ.18,Seq_575_LinJ.18,Seq_576_LinJ.18,Seq_577_LinJ.18,Seq_578_LinJ.18
Seq_571_LinJ.18,Seq_580_LinJ.18,,,,,,
Seq_572_LinJ.18,Seq_573_LinJ.18,Seq_574_LinJ.18,,,,,
Seq_581_LinJ.18,,,,,,,
