Seq_199_LinJ.10,Seq_229_LinJ.10,Seq_232_LinJ.10,Seq_233_LinJ.10,Seq_235_LinJ.10,Seq_236_LinJ.10,Seq_237_LinJ.10,Seq_238_LinJ.10,Seq_240_LinJ.10
Seq_200_LinJ.10,Seq_211_LinJ.10,Seq_212_LinJ.10,Seq_213_LinJ.10,Seq_214_LinJ.10,Seq_216_LinJ.10,Seq_239_LinJ.10,,
Seq_201_LinJ.10,,,,,,,,
Seq_202_LinJ.10,,,,,,,,
Seq_203_LinJ.10,,,,,,,,
Seq_204_LinJ.10,Seq_205_LinJ.10,,,,,,,
Seq_206_LinJ.10,,,,,,,,
Seq_207_LinJ.10,Seq_217_LinJ.10,,,,,,,
Seq_208_LinJ.10,,,,,,,,
Seq_209_LinJ.10,,,,,,,,
Seq_210_LinJ.10,,,,,,,,
Seq_215_LinJ.10,,,,,,,,
Seq_218_LinJ.10,,,,,,,,
Seq_219_LinJ.10,,,,,,,,
Seq_220_LinJ.10,,,,,,,,
Seq_221_LinJ.10,,,,,,,,
Seq_222_LinJ.10,,,,,,,,
Seq_223_LinJ.10,Seq_224_LinJ.10,Seq_225_LinJ.10,Seq_226_LinJ.10,,,,,
Seq_227_LinJ.10,,,,,,,,
Seq_228_LinJ.10,,,,,,,,
Seq_230_LinJ.10,,,,,,,,
Seq_231_LinJ.10,Seq_234_LinJ.10,,,,,,,
Seq_241_LinJ.10,,,,,,,,
