Seq_1254_LinJ.31,Seq_1255_LinJ.31,Seq_1258_LinJ.31,,,,,,,,,,,,,
Seq_1256_LinJ.31,,,,,,,,,,,,,,,
Seq_1257_LinJ.31,,,,,,,,,,,,,,,
Seq_1259_LinJ.31,Seq_1265_LinJ.31,Seq_1269_LinJ.31,,,,,,,,,,,,,
Seq_1260_LinJ.31,Seq_1262_LinJ.31,,,,,,,,,,,,,,
Seq_1261_LinJ.31,,,,,,,,,,,,,,,
Seq_1263_LinJ.31,,,,,,,,,,,,,,,
Seq_1264_LinJ.31,Seq_1266_LinJ.31,Seq_1267_LinJ.31,,,,,,,,,,,,,
Seq_1268_LinJ.31,,,,,,,,,,,,,,,
Seq_1270_LinJ.31,Seq_1272_LinJ.31,Seq_1273_LinJ.31,,,,,,,,,,,,,
Seq_1271_LinJ.31,,,,,,,,,,,,,,,
Seq_1274_LinJ.31,,,,,,,,,,,,,,,
Seq_1275_LinJ.31,Seq_1278_LinJ.31,Seq_1280_LinJ.31,,,,,,,,,,,,,
Seq_1276_LinJ.31,,,,,,,,,,,,,,,
Seq_1277_LinJ.31,,,,,,,,,,,,,,,
Seq_1279_LinJ.31,Seq_1281_LinJ.31,Seq_1283_LinJ.31,,,,,,,,,,,,,
Seq_1282_LinJ.31,Seq_1285_LinJ.31,Seq_1286_LinJ.31,,,,,,,,,,,,,
Seq_1284_LinJ.31,,,,,,,,,,,,,,,
Seq_1287_LinJ.31,Seq_1289_LinJ.31,Seq_1290_LinJ.31,Seq_1292_LinJ.31,,,,,,,,,,,,
Seq_1288_LinJ.31,,,,,,,,,,,,,,,
Seq_1291_LinJ.31,,,,,,,,,,,,,,,
Seq_1293_LinJ.31,,,,,,,,,,,,,,,
Seq_1294_LinJ.31,Seq_1295_LinJ.31,,,,,,,,,,,,,,
Seq_1296_LinJ.31,,,,,,,,,,,,,,,
Seq_1297_LinJ.31,Seq_1298_LinJ.31,Seq_1299_LinJ.31,Seq_1300_LinJ.31,,,,,,,,,,,,
Seq_1301_LinJ.31,Seq_1302_LinJ.31,Seq_1303_LinJ.31,,,,,,,,,,,,,
Seq_1304_LinJ.31,,,,,,,,,,,,,,,
Seq_1305_LinJ.31,,,,,,,,,,,,,,,
Seq_1308_LinJ.31,Seq_1309_LinJ.31,Seq_1312_LinJ.31,,,,,,,,,,,,,
Seq_1310_LinJ.31,Seq_1314_LinJ.31,,,,,,,,,,,,,,
Seq_1306_LinJ.31,Seq_1307_LinJ.31,Seq_1311_LinJ.31,Seq_1313_LinJ.31,Seq_1315_LinJ.31,Seq_1317_LinJ.31,Seq_1318_LinJ.31,,,,,,,,,
Seq_1319_LinJ.31,Seq_1320_LinJ.31,,,,,,,,,,,,,,
Seq_1321_LinJ.31,,,,,,,,,,,,,,,
Seq_1316_LinJ.31,Seq_1322_LinJ.31,Seq_1323_LinJ.31,Seq_1326_LinJ.31,Seq_1327_LinJ.31,Seq_1331_LinJ.31,Seq_1338_LinJ.31,Seq_1339_LinJ.31,,,,,,,,
Seq_1324_LinJ.31,Seq_1325_LinJ.31,,,,,,,,,,,,,,
Seq_1328_LinJ.31,,,,,,,,,,,,,,,
Seq_1329_LinJ.31,,,,,,,,,,,,,,,
Seq_1330_LinJ.31,Seq_1332_LinJ.31,Seq_1333_LinJ.31,Seq_1334_LinJ.31,Seq_1335_LinJ.31,Seq_1336_LinJ.31,,,,,,,,,,
Seq_1322_LinJ.31,Seq_1323_LinJ.31,Seq_1326_LinJ.31,Seq_1327_LinJ.31,Seq_1331_LinJ.31,Seq_1338_LinJ.31,Seq_1339_LinJ.31,Seq_1345_LinJ.31,Seq_1348_LinJ.31,,,,,,,
Seq_1340_LinJ.31,,,,,,,,,,,,,,,
Seq_1341_LinJ.31,,,,,,,,,,,,,,,
Seq_1337_LinJ.31,Seq_1342_LinJ.31,Seq_1343_LinJ.31,Seq_1344_LinJ.31,Seq_1346_LinJ.31,,,,,,,,,,,
Seq_1347_LinJ.31,,,,,,,,,,,,,,,
Seq_1349_LinJ.31,Seq_1350_LinJ.31,Seq_1352_LinJ.31,,,,,,,,,,,,,
Seq_1351_LinJ.31,,,,,,,,,,,,,,,
Seq_1353_LinJ.31,,,,,,,,,,,,,,,
R,e,p,e,a,t,e,d, ,v,a,l,u,e,s,:
Seq_1322_LinJ.31,2,Seq_1323_LinJ.31,2,Seq_1326_LinJ.31,2,Seq_1327_LinJ.31,2,Seq_1331_LinJ.31,2,Seq_1338_LinJ.31,2,Seq_1339_LinJ.31,2,,
