Seq_1012_LinJ.27,,,,,,,,,,,,
Seq_1013_LinJ.27,Seq_1014_LinJ.27,Seq_1015_LinJ.27,Seq_1016_LinJ.27,Seq_1017_LinJ.27,Seq_1018_LinJ.27,Seq_1021_LinJ.27,Seq_1022_LinJ.27,Seq_1023_LinJ.27,Seq_1024_LinJ.27,Seq_1025_LinJ.27,Seq_1026_LinJ.27,Seq_1027_LinJ.27
Seq_1019_LinJ.27,,,,,,,,,,,,
Seq_1020_LinJ.27,,,,,,,,,,,,
Seq_1028_LinJ.27,,,,,,,,,,,,
Seq_1029_LinJ.27,,,,,,,,,,,,
Seq_1030_LinJ.27,,,,,,,,,,,,
Seq_1031_LinJ.27,Seq_1036_LinJ.27,,,,,,,,,,,
Seq_1032_LinJ.27,Seq_1037_LinJ.27,,,,,,,,,,,
Seq_1033_LinJ.27,,,,,,,,,,,,
Seq_1034_LinJ.27,,,,,,,,,,,,
Seq_1035_LinJ.27,,,,,,,,,,,,
Seq_1038_LinJ.27,,,,,,,,,,,,
Seq_1039_LinJ.27,,,,,,,,,,,,
Seq_1040_LinJ.27,Seq_1041_LinJ.27,Seq_1042_LinJ.27,Seq_1045_LinJ.27,Seq_1046_LinJ.27,Seq_1048_LinJ.27,Seq_1053_LinJ.27,Seq_1054_LinJ.27,Seq_1056_LinJ.27,,,,
Seq_1043_LinJ.27,Seq_1049_LinJ.27,Seq_1052_LinJ.27,,,,,,,,,,
Seq_1044_LinJ.27,Seq_1050_LinJ.27,Seq_1051_LinJ.27,,,,,,,,,,
Seq_1047_LinJ.27,,,,,,,,,,,,
Seq_1055_LinJ.27,Seq_1058_LinJ.27,,,,,,,,,,,
Seq_1057_LinJ.27,,,,,,,,,,,,
Seq_1059_LinJ.27,Seq_1060_LinJ.27,,,,,,,,,,,
Seq_1061_LinJ.27,Seq_1062_LinJ.27,Seq_1063_LinJ.27,Seq_1064_LinJ.27,Seq_1065_LinJ.27,Seq_1070_LinJ.27,,,,,,,
Seq_1066_LinJ.27,,,,,,,,,,,,
Seq_1067_LinJ.27,Seq_1069_LinJ.27,,,,,,,,,,,
Seq_1068_LinJ.27,,,,,,,,,,,,
Seq_1073_LinJ.27,Seq_1078_LinJ.27,,,,,,,,,,,
Seq_1075_LinJ.27,,,,,,,,,,,,
Seq_1076_LinJ.27,Seq_1077_LinJ.27,,,,,,,,,,,
Seq_1071_LinJ.27,Seq_1072_LinJ.27,Seq_1074_LinJ.27,Seq_1079_LinJ.27,Seq_1080_LinJ.27,,,,,,,,
Seq_1081_LinJ.27,Seq_1082_LinJ.27,Seq_1083_LinJ.27,Seq_1084_LinJ.27,Seq_1085_LinJ.27,Seq_1086_LinJ.27,Seq_1087_LinJ.27,Seq_1088_LinJ.27,Seq_1089_LinJ.27,Seq_1090_LinJ.27,,,
Seq_1091_LinJ.27,,,,,,,,,,,,
Seq_1092_LinJ.27,,,,,,,,,,,,
