qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_0_LinJ.01,Seq_0_LinJ.01,100.0,140,0,0,1,140,1,140,2.52e-71,259.0,140,140
Seq_1_LinJ.01,Seq_1_LinJ.01,100.0,629,0,0,1,629,1,629,0.0,1162.0,629,629
Seq_2_LinJ.01,Seq_2_LinJ.01,100.0,119,0,0,1,119,1,119,9.869999999999999e-60,220.0,119,119
Seq_3_LinJ.01,Seq_3_LinJ.01,100.0,574,0,0,1,574,1,574,0.0,1061.0,574,574
Seq_4_LinJ.01,Seq_4_LinJ.01,100.0,288,0,0,1,288,1,288,2.95e-153,532.0,288,288
Seq_5_LinJ.01,Seq_5_LinJ.01,100.0,3406,0,0,1,3406,1,3406,0.0,6290.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,91.027,2385,108,65,700,3025,424,2761,0.0,3121.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,91.027,2385,108,65,424,2761,700,3025,0.0,3121.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,92.626,2102,87,43,961,3025,424,2494,0.0,2961.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,92.626,2102,87,43,424,2494,961,3025,0.0,2961.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,91.165,1845,88,46,1237,3035,424,2239,0.0,2435.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,91.165,1845,88,46,424,2239,1237,3035,0.0,2435.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,92.244,1573,64,31,1500,3035,424,1975,0.0,2176.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,92.244,1573,64,31,424,1975,1500,3035,0.0,2176.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,94.393,1284,44,17,1764,3025,424,1701,0.0,1947.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,94.393,1284,44,17,424,1701,1764,3025,0.0,1947.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,90.631,1046,48,28,2023,3035,424,1452,0.0,1343.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,90.622,1045,50,25,424,1452,2023,3035,0.0,1343.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,92.227,759,33,15,2285,3025,424,1174,0.0,1051.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,92.227,759,33,15,424,1174,2285,3025,0.0,1051.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,92.105,494,22,9,2557,3035,424,915,0.0,680.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,92.089,493,24,6,424,915,2557,3035,0.0,680.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,87.302,189,16,4,2824,3004,424,612,7.02e-55,209.0,3406,3406
Seq_5_LinJ.01,Seq_5_LinJ.01,87.302,189,16,4,424,612,2824,3004,7.02e-55,209.0,3406,3406
Seq_5_LinJ.01,Seq_253_LinJ.22,94.069,2664,76,58,412,3025,1,2632,0.0,3969.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.548,2666,92,60,424,3045,557,3186,0.0,3897.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.58,2648,94,54,414,3025,17616,20223,0.0,3879.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.594,2638,96,49,424,3025,21350,23950,0.0,3868.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.53,2643,95,51,424,3025,20816,23423,0.0,3864.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.53,2643,92,55,424,3025,19218,21822,0.0,3860.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.528,2642,89,62,424,3025,1097,3696,0.0,3856.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.457,2644,91,59,424,3025,4555,7158,0.0,3849.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.487,2641,90,56,424,3025,17892,20489,0.0,3849.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.449,2641,96,57,424,3025,5089,7691,0.0,3847.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.449,2641,91,55,424,3025,17359,19956,0.0,3843.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.333,2655,90,67,414,3025,1353,3963,0.0,3842.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.386,2646,92,57,424,3025,14424,17030,0.0,3840.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.348,2646,94,55,424,3025,9620,12227,0.0,3836.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.311,2646,95,54,424,3025,9887,12494,0.0,3831.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.318,2649,89,62,424,3025,20019,22626,0.0,3831.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.311,2646,93,62,424,3025,4288,6893,0.0,3829.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.308,2645,96,54,424,3025,10688,13294,0.0,3829.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.311,2646,93,58,424,3025,19485,22090,0.0,3829.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.311,2646,94,55,424,3025,20287,22893,0.0,3829.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.311,2646,92,59,424,3025,8288,10892,0.0,3827.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.308,2645,94,55,424,3025,21083,23687,0.0,3827.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.273,2646,96,54,424,3025,10154,12761,0.0,3825.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.273,2646,96,54,424,3025,10421,13028,0.0,3825.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.306,2644,91,61,424,3025,2695,5294,0.0,3823.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.311,2646,88,60,424,3025,6424,9024,0.0,3823.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.273,2646,94,59,424,3025,13357,15962,0.0,3823.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.303,2643,94,58,424,3025,16292,18892,0.0,3823.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.27,2645,95,57,424,3025,16025,18629,0.0,3821.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.243,2649,92,58,424,3025,20552,23160,0.0,3819.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.235,2646,96,55,424,3025,10955,13561,0.0,3818.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.23,2644,99,54,424,3025,11222,13827,0.0,3818.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.233,2645,97,58,424,3025,13091,15696,0.0,3818.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.235,2646,96,57,424,3025,14957,17563,0.0,3818.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.235,2646,93,58,424,3025,7488,10091,0.0,3816.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.172,2651,98,56,414,3025,17083,19689,0.0,3816.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.359,2635,87,59,424,3015,18955,21544,0.0,3816.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.235,2646,92,61,424,3025,5890,8492,0.0,3814.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.113,2657,97,58,414,3025,8811,11426,0.0,3814.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.113,2657,98,57,414,3025,9344,11960,0.0,3814.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.2,2647,95,60,424,3025,14690,17296,0.0,3812.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.142,2654,93,66,414,3025,1886,4492,0.0,3810.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.113,2657,94,62,414,3025,3215,5827,0.0,3810.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.197,2646,95,60,424,3025,7754,10358,0.0,3810.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.195,2645,97,56,424,3025,12023,14627,0.0,3810.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.192,2644,99,57,424,3025,12290,14894,0.0,3810.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.197,2646,95,58,424,3025,15225,17829,0.0,3810.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.2,2647,92,60,424,3025,15493,18096,0.0,3810.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.192,2644,97,59,424,3025,5623,8225,0.0,3808.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.225,2642,94,57,424,3025,16826,19422,0.0,3808.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.159,2646,98,55,424,3025,9087,11693,0.0,3807.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.159,2646,97,55,424,3025,11489,14094,0.0,3807.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.157,2645,99,56,424,3025,12557,15162,0.0,3807.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.157,2645,99,56,424,3025,13624,16229,0.0,3807.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.165,2648,93,60,424,3025,13890,16495,0.0,3807.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.192,2644,93,65,424,3025,2962,5560,0.0,3805.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.159,2646,96,58,424,3025,8555,11159,0.0,3805.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.162,2647,94,58,424,3025,15759,18363,0.0,3805.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.184,2641,98,56,424,3025,16558,19155,0.0,3805.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.162,2647,91,62,424,3025,6956,9557,0.0,3803.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.278,2633,90,63,424,3015,1629,4215,0.0,3801.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.035,2656,100,58,414,3025,8011,10625,0.0,3801.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.116,2644,102,55,424,3025,11756,14361,0.0,3801.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.127,2648,95,61,424,3025,14157,16763,0.0,3801.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.04,2658,94,61,414,3025,4813,7425,0.0,3799.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.032,2655,99,57,414,3025,5347,7958,0.0,3799.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.089,2648,96,58,424,3025,12824,15430,0.0,3795.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.094,2650,92,62,424,3025,19752,22358,0.0,3795.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.029,2654,95,61,424,3025,284,2899,0.0,3794.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.084,2646,97,60,424,3025,7221,9824,0.0,3794.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.089,2648,92,64,424,3025,3759,6361,0.0,3792.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.054,2649,91,63,424,3025,4025,6627,0.0,3786.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.049,2647,94,61,424,3025,6157,8758,0.0,3786.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.043,2645,92,60,424,3025,18159,20754,0.0,3781.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.043,2645,92,61,424,3025,18692,21287,0.0,3781.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.019,2650,88,64,424,3025,829,3429,0.0,3779.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.011,2647,90,66,424,3025,2430,5026,0.0,3775.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.938,2648,95,61,424,3025,6690,9291,0.0,3770.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.903,2649,95,64,424,3025,3492,6094,0.0,3764.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.93,2645,94,61,424,3025,18426,21020,0.0,3762.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.857,2646,96,62,424,3025,2164,4760,0.0,3753.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.025,2423,92,49,424,2809,21617,23999,0.0,3467.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.54,2386,87,60,700,3025,13,2367,0.0,3336.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.93,2150,86,45,424,2542,21885,23999,0.0,3068.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.166,2119,82,54,961,3025,13,2101,0.0,2916.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,93.17,1874,74,40,424,2270,22153,23999,0.0,2702.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,90.835,1844,91,50,1237,3025,13,1833,0.0,2398.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.96,1605,67,32,424,2008,22421,23999,0.0,2296.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,90.978,1574,74,42,1500,3025,13,1566,0.0,2058.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.761,1340,54,26,424,1749,22689,23999,0.0,1897.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,92.361,1296,57,29,1764,3025,13,1300,0.0,1807.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,91.535,1075,47,25,424,1485,22956,23999,0.0,1441.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,91.691,1035,41,26,2023,3025,13,1034,0.0,1393.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,91.853,761,35,17,2285,3025,13,766,0.0,1037.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,90.458,807,39,20,424,1222,23223,23999,0.0,1029.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,90.584,531,25,14,424,946,23486,23999,0.0,680.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,87.347,490,33,16,2557,3025,13,494,1.02e-152,534.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,88.213,263,18,6,424,685,23749,23999,1.1299999999999999e-82,302.0,3406,24324
Seq_5_LinJ.01,Seq_253_LinJ.22,88.0,200,16,4,2824,3015,13,212,5.3899999999999995e-61,230.0,3406,24324
Seq_5_LinJ.01,Seq_252_LinJ.22,95.447,593,15,6,2817,3399,88,678,0.0,935.0,3406,678
Seq_5_LinJ.01,Seq_252_LinJ.22,94.69,226,9,3,693,915,88,313,1.43e-96,348.0,3406,678
Seq_5_LinJ.01,Seq_252_LinJ.22,94.248,226,10,3,1230,1452,88,313,6.639999999999999e-95,342.0,3406,678
