qseqid,sseqid,pident,length,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_33_LinJ.05,LinJ.05,100.0,1000,1,1000,109889,110888,0.0,1847.0,1000,467714
Seq_33_LinJ.05,LinJ.08,73.759,141,589,726,21531,21669,1.44e-05,51.0,1000,515747
Seq_33_LinJ.05,LinJ.15,96.0,25,843,866,498021,497997,0.031,39.9,1000,650324
Seq_33_LinJ.05,LinJ.05,92.0,25,399,423,214682,214658,0.4,36.2,1000,467714
Seq_33_LinJ.05,LinJ.32,89.655,29,477,504,354953,354980,0.4,36.2,1000,1544760
Seq_33_LinJ.05,LinJ.28,100.0,19,483,501,1116953,1116971,0.4,36.2,1000,1205031
Seq_33_LinJ.05,LinJ.05,92.308,26,109,133,245431,245456,0.4,36.2,1000,467714
Seq_33_LinJ.05,LinJ.05,87.5,32,259,289,249188,249219,0.4,36.2,1000,467714
Seq_33_LinJ.05,LinJ.20,90.0,30,102,131,316363,316389,0.4,36.2,1000,731244
Seq_33_LinJ.05,LinJ.23,100.0,19,460,478,145525,145507,0.4,36.2,1000,786683
Seq_33_LinJ.05,LinJ.16,100.0,19,259,277,105738,105756,0.4,36.2,1000,688184
Seq_33_LinJ.05,LinJ.07,100.0,19,818,836,78620,78602,0.4,36.2,1000,592866
Seq_33_LinJ.05,LinJ.06,89.286,28,474,501,244084,244111,0.4,36.2,1000,525234
Seq_33_LinJ.05,LinJ.06,100.0,19,541,559,142580,142562,0.4,36.2,1000,525234
Seq_33_LinJ.05,LinJ.27,89.655,29,107,133,719823,719795,0.4,36.2,1000,1175412
Seq_33_LinJ.05,LinJ.27,89.655,29,107,133,710012,709984,0.4,36.2,1000,1175412
Seq_33_LinJ.05,LinJ.35,100.0,19,113,131,1895122,1895140,0.4,36.2,1000,2019672
Seq_33_LinJ.05,LinJ.09,89.286,28,481,507,391589,391563,1.5,34.4,1000,581924
Seq_33_LinJ.05,LinJ.17,100.0,18,812,829,665548,665531,1.5,34.4,1000,690898
Seq_33_LinJ.05,LinJ.14,95.455,22,491,511,551699,551678,1.5,34.4,1000,656132
Seq_33_LinJ.05,LinJ.04,89.286,28,914,940,79489,79515,1.5,34.4,1000,466507
Seq_33_LinJ.05,LinJ.04,95.238,21,741,761,415289,415269,1.5,34.4,1000,466507
Seq_33_LinJ.05,LinJ.29,92.0,25,479,501,376309,376285,1.5,34.4,1000,1272419
Seq_33_LinJ.05,LinJ.28,95.238,21,107,127,1058156,1058176,1.5,34.4,1000,1205031
Seq_33_LinJ.05,LinJ.24,95.238,21,59,79,140949,140969,1.5,34.4,1000,863815
Seq_33_LinJ.05,LinJ.18,95.455,22,489,509,539920,539899,1.5,34.4,1000,720431
Seq_33_LinJ.05,LinJ.16,100.0,18,111,128,538116,538133,1.5,34.4,1000,688184
Seq_33_LinJ.05,LinJ.03,95.238,21,109,129,304764,304744,1.5,34.4,1000,389657
Seq_33_LinJ.05,LinJ.32,81.395,43,50,90,466378,466420,1.5,34.4,1000,1544760
Seq_33_LinJ.05,LinJ.32,95.238,21,113,133,781567,781587,1.5,34.4,1000,1544760
Seq_33_LinJ.05,LinJ.32,100.0,18,112,129,372793,372810,1.5,34.4,1000,1544760
Seq_33_LinJ.05,LinJ.05,95.238,21,110,130,349832,349852,1.5,34.4,1000,467714
Seq_33_LinJ.05,LinJ.31,100.0,18,366,383,906172,906155,1.5,34.4,1000,1529246
Seq_33_LinJ.05,LinJ.31,100.0,18,366,383,899384,899367,1.5,34.4,1000,1529246
Seq_33_LinJ.05,LinJ.31,100.0,18,366,383,889000,888983,1.5,34.4,1000,1529246
Seq_33_LinJ.05,LinJ.31,100.0,18,366,383,882214,882197,1.5,34.4,1000,1529246
Seq_33_LinJ.05,LinJ.30,87.097,31,98,128,1021962,1021933,1.5,34.4,1000,1353302
Seq_33_LinJ.05,LinJ.36,80.769,52,930,977,294834,294786,1.5,34.4,1000,2743073
Seq_33_LinJ.05,LinJ.07,100.0,18,876,893,478573,478590,1.5,34.4,1000,592866
Seq_33_LinJ.05,LinJ.06,92.0,25,975,999,484957,484934,1.5,34.4,1000,525234
Seq_33_LinJ.05,LinJ.31,95.238,21,307,327,108723,108743,1.5,34.4,1000,1529246
Seq_33_LinJ.05,LinJ.36,85.294,34,472,504,2347413,2347445,1.5,34.4,1000,2743073
Seq_33_LinJ.05,LinJ.36,89.286,28,704,731,1862351,1862325,1.5,34.4,1000,2743073
Seq_33_LinJ.05,LinJ.35,100.0,18,847,864,1046391,1046374,1.5,34.4,1000,2019672
Seq_33_LinJ.05,LinJ.21,95.0,20,110,129,557633,557614,5.2,32.5,1000,764861
Seq_33_LinJ.05,LinJ.19,95.0,20,110,129,538067,538086,5.2,32.5,1000,706124
Seq_33_LinJ.05,LinJ.13,95.0,20,859,878,654381,654362,5.2,32.5,1000,659814
Seq_33_LinJ.05,LinJ.11,95.0,20,105,124,283494,283513,5.2,32.5,1000,568611
Seq_33_LinJ.05,LinJ.11,86.207,29,474,502,328233,328205,5.2,32.5,1000,568611
Seq_33_LinJ.05,LinJ.10,91.304,23,470,492,77580,77602,5.2,32.5,1000,588579
