qseqid,sseqid,pident,length,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_328_LinJ.27,LinJ.27,100.0,1220,1,1220,577077,578296,0.0,2254.0,1220,1175412
Seq_328_LinJ.27,LinJ.27,99.747,790,1,790,557692,558480,0.0,1447.0,1220,1175412
Seq_328_LinJ.27,LinJ.32,93.333,30,264,291,570063,570034,0.003,43.6,1220,1544760
Seq_328_LinJ.27,LinJ.10,90.625,32,48,79,254585,254556,0.011,41.7,1220,588579
Seq_328_LinJ.27,LinJ.16,85.366,41,750,788,431145,431107,0.038,39.9,1220,688184
Seq_328_LinJ.27,LinJ.24,100.0,20,695,714,436140,436159,0.14,38.1,1220,863815
Seq_328_LinJ.27,LinJ.15,85.714,35,46,80,518506,518472,0.14,38.1,1220,650324
Seq_328_LinJ.27,LinJ.36,87.879,33,762,794,1009176,1009145,0.14,38.1,1220,2743073
Seq_328_LinJ.27,LinJ.26,95.833,24,269,291,997831,997808,0.14,38.1,1220,1055293
Seq_328_LinJ.27,LinJ.26,100.0,20,698,717,548089,548070,0.14,38.1,1220,1055293
Seq_328_LinJ.27,LinJ.36,90.0,30,446,474,2326629,2326657,0.14,38.1,1220,2743073
Seq_328_LinJ.27,LinJ.35,95.652,23,696,718,104796,104774,0.14,38.1,1220,2019672
Seq_328_LinJ.27,LinJ.36,87.879,33,762,794,1014256,1014225,0.14,38.1,1220,2743073
Seq_328_LinJ.27,LinJ.31,86.111,36,698,733,55554,55588,0.14,38.1,1220,1529246
Seq_328_LinJ.27,LinJ.03,100.0,20,698,717,47203,47184,0.14,38.1,1220,389657
Seq_328_LinJ.27,LinJ.36,87.879,33,762,794,1011716,1011685,0.14,38.1,1220,2743073
Seq_328_LinJ.27,LinJ.20,85.714,35,652,684,685013,685047,0.49,36.2,1220,731244
Seq_328_LinJ.27,LinJ.33,87.097,31,646,676,688498,688468,0.49,36.2,1220,1532318
Seq_328_LinJ.27,LinJ.33,92.0,25,507,531,10570,10546,0.49,36.2,1220,1532318
Seq_328_LinJ.27,LinJ.33,100.0,19,697,715,345162,345144,0.49,36.2,1220,1532318
Seq_328_LinJ.27,LinJ.21,95.652,23,692,714,364724,364703,0.49,36.2,1220,764861
Seq_328_LinJ.27,LinJ.35,92.0,25,846,870,1207131,1207155,0.49,36.2,1220,2019672
Seq_328_LinJ.27,LinJ.07,92.308,26,689,714,161066,161042,0.49,36.2,1220,592866
Seq_328_LinJ.27,LinJ.19,100.0,19,698,716,55293,55275,0.49,36.2,1220,706124
Seq_328_LinJ.27,LinJ.09,100.0,19,698,716,338699,338717,0.49,36.2,1220,581924
Seq_328_LinJ.27,LinJ.13,100.0,19,698,716,583931,583913,0.49,36.2,1220,659814
Seq_328_LinJ.27,LinJ.31,84.211,38,461,496,1203430,1203393,0.49,36.2,1220,1529246
Seq_328_LinJ.27,LinJ.07,92.0,25,267,291,559138,559114,0.49,36.2,1220,592866
Seq_328_LinJ.27,LinJ.32,100.0,19,772,790,490885,490867,0.49,36.2,1220,1544760
Seq_328_LinJ.27,LinJ.36,95.652,23,693,714,234377,234355,0.49,36.2,1220,2743073
Seq_328_LinJ.27,LinJ.32,100.0,19,731,749,1457688,1457670,0.49,36.2,1220,1544760
Seq_328_LinJ.27,LinJ.10,100.0,19,448,466,535707,535725,0.49,36.2,1220,588579
Seq_328_LinJ.27,LinJ.32,92.0,25,415,438,686765,686788,1.8,34.4,1220,1544760
Seq_328_LinJ.27,LinJ.10,91.667,24,955,978,412218,412241,1.8,34.4,1220,588579
Seq_328_LinJ.27,LinJ.16,89.286,28,698,725,401237,401211,1.8,34.4,1220,688184
Seq_328_LinJ.27,LinJ.36,100.0,18,698,715,806786,806803,1.8,34.4,1220,2743073
Seq_328_LinJ.27,LinJ.36,100.0,18,455,472,1115190,1115173,1.8,34.4,1220,2743073
Seq_328_LinJ.27,LinJ.36,89.286,28,688,714,2002702,2002676,1.8,34.4,1220,2743073
Seq_328_LinJ.27,LinJ.36,89.286,28,688,714,2549884,2549910,1.8,34.4,1220,2743073
Seq_328_LinJ.27,LinJ.18,100.0,18,697,714,120700,120683,1.8,34.4,1220,720431
Seq_328_LinJ.27,LinJ.18,92.0,25,698,722,168798,168776,1.8,34.4,1220,720431
Seq_328_LinJ.27,LinJ.18,81.395,43,457,499,226303,226263,1.8,34.4,1220,720431
Seq_328_LinJ.27,LinJ.18,100.0,18,946,963,519875,519892,1.8,34.4,1220,720431
Seq_328_LinJ.27,LinJ.18,95.238,21,698,718,557861,557881,1.8,34.4,1220,720431
Seq_328_LinJ.27,LinJ.09,100.0,18,697,714,411601,411618,1.8,34.4,1220,581924
Seq_328_LinJ.27,LinJ.09,87.097,31,52,81,463087,463117,1.8,34.4,1220,581924
Seq_328_LinJ.27,LinJ.34,95.238,21,739,759,49951,49971,1.8,34.4,1220,1852095
Seq_328_LinJ.27,LinJ.34,100.0,18,697,714,80247,80264,1.8,34.4,1220,1852095
Seq_328_LinJ.27,LinJ.31,100.0,18,731,748,123321,123338,1.8,34.4,1220,1529246
Seq_328_LinJ.27,LinJ.26,100.0,18,407,424,323533,323516,1.8,34.4,1220,1055293
Seq_328_LinJ.27,LinJ.26,100.0,18,697,714,358956,358973,1.8,34.4,1220,1055293
Seq_328_LinJ.27,LinJ.21,91.667,24,762,785,648856,648879,1.8,34.4,1220,764861
Seq_328_LinJ.27,LinJ.19,87.097,31,691,720,120872,120901,1.8,34.4,1220,706124
Seq_328_LinJ.27,LinJ.06,87.097,31,698,726,136983,136953,1.8,34.4,1220,525234
Seq_328_LinJ.27,LinJ.06,100.0,18,697,714,145850,145867,1.8,34.4,1220,525234
Seq_328_LinJ.27,LinJ.06,100.0,18,698,715,216161,216144,1.8,34.4,1220,525234
Seq_328_LinJ.27,LinJ.05,95.238,21,716,736,380375,380395,1.8,34.4,1220,467714
Seq_328_LinJ.27,LinJ.02,92.0,25,524,548,180680,180658,1.8,34.4,1220,356299
Seq_328_LinJ.27,LinJ.30,88.889,27,993,1019,850329,850303,1.8,34.4,1220,1353302
Seq_328_LinJ.27,LinJ.29,92.0,25,774,796,530995,530971,1.8,34.4,1220,1272419
Seq_328_LinJ.27,LinJ.29,100.0,18,739,756,702623,702640,1.8,34.4,1220,1272419
Seq_328_LinJ.27,LinJ.19,95.238,21,791,811,449619,449639,1.8,34.4,1220,706124
Seq_328_LinJ.27,LinJ.33,85.294,34,698,731,263222,263191,1.8,34.4,1220,1532318
Seq_328_LinJ.27,LinJ.33,100.0,18,579,596,909507,909490,1.8,34.4,1220,1532318
Seq_328_LinJ.27,LinJ.33,95.238,21,698,718,1060127,1060147,1.8,34.4,1220,1532318
Seq_328_LinJ.27,LinJ.33,92.0,25,521,545,1154054,1154032,1.8,34.4,1220,1532318
