sre_c01.100A,LINF_010010100
sre_c01.120A,LINF_010011900
sre_c01.20A,LINF_010005800
sre_c01.30A,LINF_010006300
sre_c01.40,LINF_010006600
sre_c01.50A,LINF_010007050
sre_c01.70,LINF_010008500
sre_c01.80,LINF_010009500
sre_c01.90A,LINF_010009900
sre_c02.100B,LINF_020007500
sre_c02.110C,LINF_020007950
sre_c02.120C,LINF_020009400
sre_c02.130,LINF_020009800
sre_c02.140,LINF_020011000
sre_c02.20A,LINF_020005400
sre_c02.30A,LINF_020005800
sre_c02.40B,LINF_020006700
sre_c02.50A,LINF_020006900
sre_c02.60C,LINF_020007000
sre_c02.70,LINF_020007000
sre_c02.80B,LINF_020007000
sre_c02.90A,LINF_020007100
sre_c03.10,LINF_030009600
sre_c03.20,LINF_030011300
sre_c03.40A,LINF_030011700
sre_c04.120B,LINF_040015700
sre_c04.140C,LINF_040017000
sre_c04.30,LINF_040005100
sre_c04.40A,LINF_040005400
sre_c04.60A,LINF_040008300
sre_c04.80,LINF_040012300
sre_c04.90,LINF_040013700
sre_c05.100,LINF_050010700
sre_c05.110,LINF_050011600
sre_c05.130B,LINF_050015825
sre_c05.170C,LINF_050017400
sre_c05.180C,LINF_050017460
sre_c05.190,LINF_050017500
sre_c05.200,LINF_050017500
sre_c05.20A,LINF_050005500
sre_c05.210C,LINF_050019850
sre_c05.30A,LINF_050005900
sre_c05.40A,LINF_050006200
sre_c05.50A,LINF_050006300
sre_c05.60A,LINF_050007800
sre_c05.70,LINF_050008400
sre_c05.80,LINF_050009600
sre_c05.90,LINF_050010700
sre_c06.100B,LINF_060010900
sre_c06.110B,LINF_060011700
sre_c06.130,LINF_060013000
sre_c06.140,LINF_060014900
sre_c06.150,LINF_060016300
sre_c06.160C,LINF_060016400
sre_c06.170C,LINF_060016600
sre_c06.180C,LINF_060016800
sre_c06.200C,LINF_060016900
sre_c06.20A,LINF_060005150
sre_c06.210C,LINF_060018100
sre_c06.220C,LINF_060018400
sre_c06.230C,LINF_060018400
sre_c06.240,LINF_060019000
sre_c06.250,LINF_060019000
sre_c06.260C,LINF_060019100
sre_c06.30,LINF_060005150
sre_c06.40A,LINF_060005400
