qseqid,sseqid,pident,length,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_29_LinJ.04,LinJ.04,100.0,585,1,585,394441,395025,0.0,1081.0,585,466507
Seq_29_LinJ.04,LinJ.04,98.611,216,1,216,391322,391537,7.19e-106,383.0,585,466507
Seq_29_LinJ.04,LinJ.04,97.436,195,1,195,331481,331675,7.35e-91,333.0,585,466507
Seq_29_LinJ.04,LinJ.04,96.923,195,1,195,363076,362882,3.4199999999999994e-89,327.0,585,466507
Seq_29_LinJ.04,LinJ.31,83.099,71,24,92,511381,511448,1.38e-08,60.2,585,1529246
Seq_29_LinJ.04,LinJ.31,83.824,68,27,92,501012,500948,1.38e-08,60.2,585,1529246
Seq_29_LinJ.04,LinJ.31,83.099,71,24,92,539846,539913,1.38e-08,60.2,585,1529246
Seq_29_LinJ.04,LinJ.26,76.991,113,2,108,659097,658990,6.41e-07,54.7,585,1055293
Seq_29_LinJ.04,LinJ.26,76.991,113,2,108,683367,683260,6.41e-07,54.7,585,1055293
Seq_29_LinJ.04,LinJ.26,76.991,113,2,108,689361,689254,6.41e-07,54.7,585,1055293
Seq_29_LinJ.04,LinJ.26,76.991,113,2,108,704915,704808,6.41e-07,54.7,585,1055293
Seq_29_LinJ.04,LinJ.19,73.988,173,1,169,57609,57764,8.29e-06,51.0,585,706124
Seq_29_LinJ.04,LinJ.26,77.0,100,22,121,565067,564976,8.29e-06,51.0,585,1055293
Seq_29_LinJ.04,LinJ.26,77.0,100,22,121,533704,533613,8.29e-06,51.0,585,1055293
Seq_29_LinJ.04,LinJ.19,73.988,173,1,169,41705,41860,8.29e-06,51.0,585,706124
Seq_29_LinJ.04,LinJ.26,77.0,100,22,121,524347,524438,8.29e-06,51.0,585,1055293
Seq_29_LinJ.04,LinJ.35,85.106,47,42,88,318986,318942,0.000107,47.3,585,2019672
Seq_29_LinJ.04,LinJ.26,93.548,31,22,52,598797,598827,0.000107,47.3,585,1055293
Seq_29_LinJ.04,LinJ.35,85.106,47,42,88,297562,297518,0.000107,47.3,585,2019672
Seq_29_LinJ.04,LinJ.09,77.778,81,109,188,413067,412989,0.000107,47.3,585,581924
Seq_29_LinJ.04,LinJ.26,93.548,31,22,52,620445,620415,0.000107,47.3,585,1055293
Seq_29_LinJ.04,LinJ.26,93.548,31,22,52,534637,534607,0.000107,47.3,585,1055293
Seq_29_LinJ.04,LinJ.31,81.667,60,40,98,449986,450043,0.000107,47.3,585,1529246
Seq_29_LinJ.04,LinJ.31,81.667,60,40,98,431425,431482,0.000107,47.3,585,1529246
Seq_29_LinJ.04,LinJ.33,77.381,84,90,173,985942,985862,0.000107,47.3,585,1532318
Seq_29_LinJ.04,LinJ.33,77.381,84,90,173,1004673,1004593,0.000107,47.3,585,1532318
Seq_29_LinJ.04,LinJ.27,78.313,83,128,206,448879,448957,0.000107,47.3,585,1175412
Seq_29_LinJ.04,LinJ.31,81.667,60,40,98,400366,400423,0.000107,47.3,585,1529246
Seq_29_LinJ.04,LinJ.26,93.548,31,22,52,569985,569955,0.000107,47.3,585,1055293
Seq_29_LinJ.04,LinJ.26,76.471,102,22,121,475709,475616,0.000107,47.3,585,1055293
