Seq_722_LinJ.22,,,,,,,,,,,
Seq_723_LinJ.22,,,,,,,,,,,
Seq_724_LinJ.22,,,,,,,,,,,
Seq_725_LinJ.22,,,,,,,,,,,
Seq_726_LinJ.22,Seq_729_LinJ.22,,,,,,,,,,
Seq_727_LinJ.22,,,,,,,,,,,
Seq_728_LinJ.22,,,,,,,,,,,
Seq_730_LinJ.22,,,,,,,,,,,
Seq_731_LinJ.22,,,,,,,,,,,
Seq_732_LinJ.22,Seq_733_LinJ.22,Seq_734_LinJ.22,,,,,,,,,
Seq_736_LinJ.22,Seq_760_LinJ.22,,,,,,,,,,
Seq_735_LinJ.22,Seq_737_LinJ.22,Seq_738_LinJ.22,Seq_740_LinJ.22,Seq_741_LinJ.22,Seq_743_LinJ.22,Seq_744_LinJ.22,Seq_746_LinJ.22,Seq_751_LinJ.22,Seq_758_LinJ.22,Seq_759_LinJ.22,Seq_765_LinJ.22
Seq_739_LinJ.22,Seq_742_LinJ.22,Seq_745_LinJ.22,Seq_747_LinJ.22,Seq_749_LinJ.22,Seq_752_LinJ.22,Seq_757_LinJ.22,Seq_763_LinJ.22,Seq_764_LinJ.22,,,
Seq_748_LinJ.22,Seq_750_LinJ.22,Seq_753_LinJ.22,Seq_754_LinJ.22,,,,,,,,
Seq_755_LinJ.22,,,,,,,,,,,
Seq_756_LinJ.22,,,,,,,,,,,
Seq_761_LinJ.22,,,,,,,,,,,
Seq_762_LinJ.22,,,,,,,,,,,
Seq_766_LinJ.22,,,,,,,,,,,
Seq_767_LinJ.22,Seq_768_LinJ.22,Seq_770_LinJ.22,,,,,,,,,
Seq_769_LinJ.22,Seq_773_LinJ.22,,,,,,,,,,
Seq_771_LinJ.22,Seq_778_LinJ.22,,,,,,,,,,
Seq_772_LinJ.22,,,,,,,,,,,
Seq_774_LinJ.22,Seq_775_LinJ.22,Seq_776_LinJ.22,Seq_777_LinJ.22,,,,,,,,
Seq_779_LinJ.22,,,,,,,,,,,
Seq_780_LinJ.22,,,,,,,,,,,
Seq_781_LinJ.22,,,,,,,,,,,
