sseqid,sstart,send,sense,attribute
LinJ.01,3710,4711,-,product=Protein of unknown function (DUF2946)
LinJ.01,5804,7438,-,product=Endonuclease/Exonuclease/phosphatase family
LinJ.01,9038,11059,-,product=Kinesin-13
LinJ.01,12041,12601,-,product=hypothetical protein - conserved
LinJ.01,14957,16954,-,product=carboxylase - putative
LinJ.01,18110,18859,-,product=hypothetical protein - conserved
LinJ.01,19950,21689,-,product=BSD domain containing protein - putative
LinJ.01,22529,23242,-,product=hypothetical protein - conserved
LinJ.01,24799,25617,-,product=UMP-CMP kinase - mitochondrial - putative
LinJ.01,26313,27269,-,product=Glycosyl transferase family 11 - putative
LinJ.01,28369,28956,-,product=monothiol glutaredoxin - putative
LinJ.01,30160,32133,-,product=hypothetical protein - conserved
LinJ.01,33423,34517,-,product=hypothetical protein - conserved
LinJ.01,36819,37067,-,product=hypothetical protein - conserved
LinJ.01,37805,38155,-,product=hypothetical protein - conserved
LinJ.01,39020,39262,-,product=LSM domain containing protein - putative
LinJ.01,41389,42762,-,product=hypothetical protein - conserved
LinJ.01,44184,46496,-,product=CLC-type chloride channel - putativeGeneDB:LmjF.01.0180
LinJ.01,47933,48556,-,product=hypothetical protein - conserved
LinJ.01,49244,50050,-,product=Low molecular weight phosphotyrosine protein phosphatase - putative
LinJ.01,51015,53711,-,product=UBA/TS-N domain/CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein - putative
LinJ.01,57346,58350,-,product=cyclophilin 12 - putative
LinJ.01,61569,61985,-,product=hypothetical protein - conserved
LinJ.01,62737,65505,-,product=DNA excision/repair protein SNF2 - putative
LinJ.01,66313,68700,-,product=Right handed beta helix region/Periplasmic copper-binding protein (NosD) - putative
LinJ.01,70170,71015,-,product=Calmodulin-binding - putative
LinJ.01,72375,72698,-,product=thioredoxin - putative
LinJ.01,74177,75418,-,product=pseudouridylate synthase-like protein
LinJ.01,76639,77157,-,product=Cytochrome c oxidase biogenesis protein Cmc1 like - putative
LinJ.01,78068,78247,-,product=4F5 protein family - putative
LinJ.01,78817,79980,-,product=acidocalcisomal exopolyphosphatase - putative
LinJ.01,80340,80771,-,product=hypothetical protein - conserved
LinJ.01,81741,82664,+,product=poly(A) export protein - putative
LinJ.01,83113,83745,+,product=hypothetical protein - conserved
LinJ.01,84325,84618,+,product=Uncharacterised protein family (UPF0041) - putative
LinJ.01,85705,86481,+,product=hypothetical protein - conserved
LinJ.01,88139,90385,+,product=hypothetical protein - conserved
LinJ.01,91224,91793,+,product=hypothetical protein - conserved
LinJ.01,92426,92992,+,product=Protein of unknown function (DUF788) - putative
LinJ.01,93860,96310,+,product=Dyggve-Melchior-Clausen syndrome protein - putative
LinJ.01,97206,99671,+,product=hypothetical protein - conserved
LinJ.01,100535,102241,+,product=hypothetical protein - conserved
LinJ.01,102868,103470,+,product=ribosomal protein S7 - putative
LinJ.01,104660,105262,+,product=ribosomal protein S7 - putative
LinJ.01,106134,108368,+,product=Ring finger domain/Zn-finger in ubiquitin-hydrolases and other protein - putative
LinJ.01,109697,111463,+,product=Protein of unknown function (DUF791) - putative
LinJ.01,114424,115080,+,product=nicotinamidase - putative
LinJ.01,117138,121772,+,product=conserved protein
LinJ.01,125902,127992,+,product=long-chain-fatty-acid-CoA ligase - putative
LinJ.01,128823,129902,+,product=beta eliminating lyase -putative
LinJ.01,131641,133737,+,product=long-chain-fatty-acid-CoA ligase - putative
LinJ.01,134852,136975,+,product=long-chain-fatty-acid-CoA ligase - putative
LinJ.01,140316,140555,+,product=fatty acyl CoA synthetase 2 - putative
LinJ.01,141480,143627,+,product=long-chain-fatty-acid-CoA ligase - putative
