Seq_360_LinJ.14,,,,,,,,,
Seq_361_LinJ.14,Seq_362_LinJ.14,,,,,,,,
Seq_363_LinJ.14,,,,,,,,,
Seq_364_LinJ.14,Seq_365_LinJ.14,Seq_366_LinJ.14,Seq_367_LinJ.14,Seq_368_LinJ.14,Seq_369_LinJ.14,Seq_370_LinJ.14,Seq_371_LinJ.14,Seq_372_LinJ.14,Seq_373_LinJ.14
Seq_374_LinJ.14,,,,,,,,,
Seq_375_LinJ.14,Seq_376_LinJ.14,Seq_377_LinJ.14,Seq_378_LinJ.14,Seq_379_LinJ.14,Seq_380_LinJ.14,Seq_381_LinJ.14,Seq_382_LinJ.14,Seq_388_LinJ.14,Seq_390_LinJ.14
Seq_383_LinJ.14,,,,,,,,,
Seq_384_LinJ.14,Seq_386_LinJ.14,,,,,,,,
Seq_385_LinJ.14,,,,,,,,,
Seq_387_LinJ.14,,,,,,,,,
Seq_389_LinJ.14,,,,,,,,,
Seq_391_LinJ.14,,,,,,,,,
Seq_392_LinJ.14,,,,,,,,,
Seq_393_LinJ.14,Seq_394_LinJ.14,Seq_395_LinJ.14,Seq_396_LinJ.14,Seq_397_LinJ.14,,,,,
Seq_398_LinJ.14,,,,,,,,,
Seq_399_LinJ.14,,,,,,,,,
Seq_400_LinJ.14,,,,,,,,,
Seq_401_LinJ.14,,,,,,,,,
