qseqid,sseqid,pident,length,qstart,qend,sstart,send,evalue,bitscore,qlen,slen
Seq_189_LinJ.16,LinJ.16,100.0,770,1,770,64229,64998,0.0,1423.0,770,688184
Seq_189_LinJ.16,LinJ.16,98.891,451,1,449,79840,80289,0.0,802.0,770,688184
Seq_189_LinJ.16,LinJ.16,95.902,244,86,329,39324,39566,4.41e-109,394.0,770,688184
Seq_189_LinJ.16,LinJ.16,91.349,289,86,374,16886,17163,2.66e-106,385.0,770,688184
Seq_189_LinJ.16,LinJ.16,94.348,230,77,306,60238,60465,2.69e-96,351.0,770,688184
Seq_189_LinJ.16,LinJ.16,95.098,204,86,289,20795,20997,7.6e-87,320.0,770,688184
Seq_189_LinJ.16,LinJ.16,94.118,102,1,100,59972,60071,2.93e-36,152.0,770,688184
Seq_189_LinJ.16,LinJ.16,93.651,63,12,73,39290,39352,1.8e-18,93.5,770,688184
Seq_189_LinJ.16,LinJ.35,72.698,315,118,421,409337,409638,1.09e-15,84.2,770,2019672
Seq_189_LinJ.16,LinJ.35,72.698,315,118,421,360719,361020,1.09e-15,84.2,770,2019672
Seq_189_LinJ.16,LinJ.15,90.476,63,311,371,620137,620199,3.9e-15,82.4,770,650324
Seq_189_LinJ.16,LinJ.15,90.476,63,311,371,585049,584987,3.9e-15,82.4,770,650324
Seq_189_LinJ.16,LinJ.15,90.476,63,311,371,560454,560516,3.9e-15,82.4,770,650324
Seq_189_LinJ.16,LinJ.16,87.143,70,4,73,20753,20822,1.4e-14,80.5,770,688184
Seq_189_LinJ.16,LinJ.35,72.436,312,121,421,386047,385748,5.05e-14,78.7,770,2019672
Seq_189_LinJ.16,LinJ.31,77.692,130,115,242,886391,886510,3.04e-11,69.4,770,1529246
Seq_189_LinJ.16,LinJ.31,77.692,130,115,242,903565,903684,3.04e-11,69.4,770,1529246
Seq_189_LinJ.16,LinJ.31,77.692,130,115,242,910345,910464,3.04e-11,69.4,770,1529246
Seq_189_LinJ.16,LinJ.16,91.304,46,28,73,16868,16913,1.41e-09,63.9,770,688184
Seq_189_LinJ.16,LinJ.26,75.676,148,88,231,270970,271109,1.41e-09,63.9,770,1055293
Seq_189_LinJ.16,LinJ.26,75.817,153,88,231,234543,234688,1.41e-09,63.9,770,1055293
Seq_189_LinJ.16,LinJ.26,75.817,153,88,231,228919,228774,1.41e-09,63.9,770,1055293
Seq_189_LinJ.16,LinJ.26,75.817,153,88,231,210358,210503,1.41e-09,63.9,770,1055293
Seq_189_LinJ.16,LinJ.26,75.817,153,88,231,169058,169203,1.41e-09,63.9,770,1055293
Seq_189_LinJ.16,LinJ.35,72.656,256,121,366,349405,349163,1.41e-09,63.9,770,2019672
Seq_189_LinJ.16,LinJ.15,92.857,42,121,162,295383,295342,5.08e-09,62.1,770,650324
Seq_189_LinJ.16,LinJ.15,92.857,42,121,162,275113,275072,5.08e-09,62.1,770,650324
Seq_189_LinJ.16,LinJ.15,92.857,42,121,162,255051,255010,5.08e-09,62.1,770,650324
Seq_189_LinJ.16,LinJ.27,77.064,109,291,397,580562,580668,1.83e-08,60.2,770,1175412
Seq_189_LinJ.16,LinJ.27,77.273,110,291,397,589550,589444,1.83e-08,60.2,770,1175412
