Seq_51_LinJ.05,,,,
Seq_52_LinJ.05,Seq_53_LinJ.05,Seq_54_LinJ.05,Seq_55_LinJ.05,Seq_56_LinJ.05
Seq_57_LinJ.05,,,,
Seq_58_LinJ.05,,,,
Seq_59_LinJ.05,,,,
Seq_60_LinJ.05,,,,
Seq_61_LinJ.05,,,,
Seq_62_LinJ.05,,,,
Seq_63_LinJ.05,Seq_64_LinJ.05,,,
Seq_65_LinJ.05,,,,
Seq_66_LinJ.05,,,,
Seq_67_LinJ.05,Seq_68_LinJ.05,Seq_71_LinJ.05,,
Seq_69_LinJ.05,,,,
Seq_70_LinJ.05,,,,
