Seq_1083_LinJ.28,,,,,,
Seq_1084_LinJ.28,,,,,,
Seq_1085_LinJ.28,,,,,,
Seq_1086_LinJ.28,Seq_1088_LinJ.28,Seq_1091_LinJ.28,Seq_1092_LinJ.28,Seq_1093_LinJ.28,Seq_1094_LinJ.28,Seq_1095_LinJ.28
Seq_1087_LinJ.28,,,,,,
Seq_1089_LinJ.28,,,,,,
Seq_1090_LinJ.28,,,,,,
Seq_1096_LinJ.28,Seq_1097_LinJ.28,,,,,
Seq_1098_LinJ.28,,,,,,
Seq_1099_LinJ.28,,,,,,
Seq_1100_LinJ.28,Seq_1101_LinJ.28,,,,,
Seq_1102_LinJ.28,Seq_1104_LinJ.28,Seq_1107_LinJ.28,Seq_1109_LinJ.28,Seq_1113_LinJ.28,,
Seq_1103_LinJ.28,,,,,,
Seq_1105_LinJ.28,,,,,,
Seq_1106_LinJ.28,,,,,,
Seq_1108_LinJ.28,,,,,,
Seq_1110_LinJ.28,Seq_1111_LinJ.28,,,,,
Seq_1112_LinJ.28,,,,,,
Seq_1114_LinJ.28,Seq_1115_LinJ.28,Seq_1116_LinJ.28,Seq_1117_LinJ.28,,,
Seq_1118_LinJ.28,,,,,,
Seq_1119_LinJ.28,Seq_1122_LinJ.28,Seq_1132_LinJ.28,,,,
Seq_1120_LinJ.28,Seq_1121_LinJ.28,Seq_1123_LinJ.28,Seq_1124_LinJ.28,Seq_1125_LinJ.28,Seq_1127_LinJ.28,Seq_1128_LinJ.28
Seq_1126_LinJ.28,,,,,,
Seq_1129_LinJ.28,Seq_1130_LinJ.28,Seq_1131_LinJ.28,Seq_1133_LinJ.28,Seq_1134_LinJ.28,,
Seq_1135_LinJ.28,Seq_1137_LinJ.28,Seq_1138_LinJ.28,,,,
Seq_1136_LinJ.28,,,,,,
