Seq_388_LinJ.16,,,,,,
Seq_389_LinJ.16,,,,,,
Seq_390_LinJ.16,,,,,,
Seq_391_LinJ.16,Seq_392_LinJ.16,Seq_393_LinJ.16,Seq_395_LinJ.16,Seq_396_LinJ.16,Seq_397_LinJ.16,Seq_398_LinJ.16
Seq_394_LinJ.16,,,,,,
Seq_399_LinJ.16,Seq_402_LinJ.16,Seq_406_LinJ.16,,,,
Seq_400_LinJ.16,,,,,,
Seq_401_LinJ.16,,,,,,
Seq_403_LinJ.16,Seq_407_LinJ.16,Seq_409_LinJ.16,Seq_410_LinJ.16,Seq_411_LinJ.16,,
Seq_404_LinJ.16,,,,,,
Seq_405_LinJ.16,Seq_408_LinJ.16,,,,,
Seq_412_LinJ.16,,,,,,
Seq_413_LinJ.16,,,,,,
Seq_414_LinJ.16,,,,,,
Seq_415_LinJ.16,,,,,,
Seq_416_LinJ.16,,,,,,
Seq_417_LinJ.16,Seq_418_LinJ.16,Seq_419_LinJ.16,,,,
Seq_420_LinJ.16,,,,,,
