Seq_946_LinJ.26,Seq_1001_LinJ.26,,,,,,,
Seq_947_LinJ.26,Seq_948_LinJ.26,Seq_949_LinJ.26,Seq_950_LinJ.26,Seq_951_LinJ.26,Seq_952_LinJ.26,Seq_955_LinJ.26,Seq_956_LinJ.26,
Seq_953_LinJ.26,,,,,,,,
Seq_954_LinJ.26,,,,,,,,
Seq_957_LinJ.26,Seq_958_LinJ.26,Seq_959_LinJ.26,Seq_960_LinJ.26,Seq_961_LinJ.26,Seq_962_LinJ.26,,,
Seq_963_LinJ.26,,,,,,,,
Seq_964_LinJ.26,Seq_965_LinJ.26,Seq_968_LinJ.26,Seq_969_LinJ.26,Seq_970_LinJ.26,Seq_971_LinJ.26,Seq_972_LinJ.26,Seq_974_LinJ.26,Seq_975_LinJ.26
Seq_966_LinJ.26,Seq_981_LinJ.26,,,,,,,
Seq_967_LinJ.26,,,,,,,,
Seq_973_LinJ.26,,,,,,,,
Seq_976_LinJ.26,Seq_978_LinJ.26,Seq_979_LinJ.26,Seq_980_LinJ.26,,,,,
Seq_977_LinJ.26,,,,,,,,
Seq_982_LinJ.26,Seq_990_LinJ.26,,,,,,,
Seq_983_LinJ.26,,,,,,,,
Seq_984_LinJ.26,,,,,,,,
Seq_985_LinJ.26,Seq_988_LinJ.26,,,,,,,
Seq_986_LinJ.26,,,,,,,,
Seq_987_LinJ.26,Seq_989_LinJ.26,,,,,,,
Seq_991_LinJ.26,,,,,,,,
Seq_992_LinJ.26,Seq_997_LinJ.26,Seq_1000_LinJ.26,,,,,,
Seq_993_LinJ.26,Seq_995_LinJ.26,Seq_998_LinJ.26,,,,,,
Seq_994_LinJ.26,Seq_996_LinJ.26,Seq_999_LinJ.26,,,,,,
